iter	Passed	Remaining
431	2609	410
432	2616	404
433	2624	399
434	2639	394
435	2646	388
436	2653	382
437	2661	376
438	2677	372
439	2685	366
440	2692	360
441	2699	354
442	2705	348
443	2711	341
444	2716	335
445	2721	329
446	2726	323
447	2731	316
448	2735	310
449	2740	304
450	2745	298
451	2750	292
452	2755	285
453	2760	279
454	2764	273
455	2769	267
456	2774	261
457	2779	254
458	2784	248
459	2790	242
460	2803	237
461	2809	231
462	2815	224
463	2821	218
464	2827	212
465	2832	206
466	2838	200
467	2843	194
468	2848	188
469	2853	182
470	2857	175
471	2862	169
472	2867	163
473	2872	157
474	2878	151
475	2883	145
476	2888	139
477	2894	133
478	2900	127
479	2907	121
480	2913	115
481	2918	109
482	2924	102
483	2929	96
484	2935	90
485	2941	84
486	2946	78
487	2953	72
488	2959	66
489	2964	60
490	2970	54
491	2976	48
492	2983	42
493	2988	36
494	2994	30
495	2999	24
496	3004	18
497	3010	12
498	3014	6
499	3019	0
