iter	RMSE
148	2.24276696
149	2.234935972
150	2.226583851
151	2.222282428
152	2.213531067
153	2.206774533
154	2.198556925
155	2.196265819
156	2.191343462
157	2.186565302
158	2.180922832
159	2.175657151
160	2.169532723
161	2.161626907
162	2.156868975
163	2.152275724
164	2.144986675
165	2.142470134
166	2.137475806
167	2.135338184
168	2.132675349
169	2.127023875
170	2.121392929
171	2.112466072
172	2.105018197
173	2.100581084
174	2.097183586
175	2.091930928
176	2.087230306
177	2.082280397
178	2.07185696
179	2.066815287
180	2.059358903
181	2.053891458
182	2.051900536
183	2.045863154
184	2.042277166
185	2.037678629
186	2.03239633
187	2.029967503
188	2.022276192
189	2.019106366
190	2.013485955
191	2.008323572
192	2.002911229
193	1.996058908
194	1.989348912
195	1.983993313
196	1.977565031
197	1.974338508
198	1.963198987
199	1.956485678
200	1.951083164
201	1.945631308
202	1.939457295
203	1.930453009
204	1.924970037
205	1.922751572
206	1.917575558
207	1.909929048
208	1.907931005
209	1.902307074
210	1.901028625
211	1.896238393
212	1.890221394
213	1.882823073
214	1.881454893
215	1.875763779
216	1.871201601
217	1.86366702
218	1.861833206
219	1.857083064
220	1.850606426
221	1.841998374
222	1.838476521
223	1.832086589
224	1.827518378
225	1.824058113
226	1.816139038
227	1.811806146
228	1.807782472
229	1.801138282
230	1.79667323
231	1.790297754
232	1.78371121
233	1.77826875
234	1.776582652
235	1.772413356
236	1.76731728
237	1.758426406
238	1.755055569
239	1.748290295
240	1.743513109
241	1.74232443
242	1.733584445
243	1.732185017
244	1.731276692
245	1.724515932
246	1.719377424
247	1.718092968
248	1.716739132
249	1.71163264
250	1.70504794
251	1.701245784
252	1.6947597
253	1.690386606
254	1.68170487
255	1.674742138
256	1.672180237
257	1.665408671
258	1.664103515
259	1.662826021
260	1.654322992
261	1.648226788
262	1.644610178
263	1.643318037
264	1.638945518
265	1.630311128
266	1.622377378
267	1.620330656
268	1.613359598
269	1.610338139
270	1.603689946
271	1.594487221
272	1.590455824
273	1.584669564
274	1.57698487
275	1.572364759
276	1.566351434
277	1.55998316
278	1.553373665
279	1.548414892
280	1.540759141
281	1.537456282
282	1.536215049
283	1.528284199
284	1.523186342
285	1.519367123
286	1.513404558
287	1.506009949
288	1.501506541
289	1.495647954
290	1.487174315
291	1.482694622
292	1.478329255
293	1.470755231
294	1.462727083
295	1.456665506
296	1.451252071
297	1.447468844
298	1.446384434
299	1.443098993
300	1.436971461
301	1.432427655
302	1.429707663
303	1.426105324
304	1.42261556
305	1.417612935
306	1.414723173
307	1.406002009
308	1.402662009
309	1.39669816
310	1.388339443
311	1.382058417
312	1.380960897
313	1.375051716
314	1.370488559
315	1.366939481
316	1.359531522
317	1.353385904
318	1.347798051
319	1.346080486
320	1.341163677
321	1.33658082
322	1.329360561
323	1.324105923
324	1.323130258
325	1.318763462
326	1.315510972
327	1.309488866
328	1.307373443
329	1.301923888
330	1.294742644
331	1.292305719
332	1.287948449
333	1.281739358
334	1.27555305
335	1.269520831
336	1.264104327
337	1.258523991
338	1.254405627
339	1.250488163
340	1.243977248
341	1.236758216
342	1.231377774
343	1.229786547
344	1.225741562
345	1.22166013
346	1.218994964
347	1.21244108
348	1.20961264
349	1.204313128
350	1.200592234
351	1.195104365
352	1.19049272
353	1.187476326
354	1.184339759
355	1.181279767
356	1.17789085
357	1.171892466
358	1.167688144
359	1.161493892
360	1.157490138
361	1.153393276
362	1.148623205
363	1.143209804
364	1.138853383
365	1.135769966
366	1.134164206
367	1.129539665
368	1.126162759
369	1.122338132
370	1.11862134
371	1.11480627
372	1.111537125
373	1.107996665
374	1.105433149
375	1.100586699
376	1.097919226
377	1.094435039
378	1.090613806
379	1.087103124
380	1.081746694
381	1.078313844
382	1.074086757
383	1.072787597
384	1.071327491
385	1.067672499
386	1.064655585
387	1.061049611
388	1.060076312
389	1.056728979
390	1.052408927
391	1.048390587
392	1.046119808
393	1.042478077
394	1.039811494
395	1.03623346
396	1.034793806
397	1.030108925
398	1.027388699
399	1.023433428
400	1.020905402
401	1.018053718
402	1.013628854
403	1.012303739
404	1.008849782
405	1.00542548
406	1.001160904
407	0.9977977612
408	0.9962262346
409	0.9950083004
410	0.991884554
411	0.9894668415
412	0.9870489346
413	0.9862053761
414	0.9844347211
415	0.9806020765
416	0.9777478867
417	0.9729660441
418	0.9698538915
419	0.9672600832
420	0.962882132
421	0.9592863976
422	0.9560084915
423	0.9516590681
424	0.9494166036
425	0.9481017973
426	0.9442754944
427	0.940109805
428	0.9381243458
429	0.9357520764
430	0.9337953731
431	0.9324328345
432	0.9295970555
433	0.9257474402
434	0.9220783512
435	0.9182376481
436	0.9141836744
437	0.9129255081
438	0.9114391602
439	0.9099410382
440	0.9053026487
441	0.9012529615
442	0.9005444666
443	0.8967465924
444	0.8953101069
445	0.8917696588
446	0.8876549599
447	0.8853627495
448	0.8846526112
449	0.8800621309
450	0.8764672375
451	0.8732473561
452	0.868823211
453	0.8660571677
454	0.863319658
455	0.8601190045
456	0.8562906975
457	0.8521321964
458	0.8500583905
459	0.8494147449
460	0.8465933925
461	0.8448864713
462	0.8424214491
463	0.840075629
464	0.8385606784
465	0.8371603985
466	0.8350680131
467	0.833336202
468	0.8298152593
469	0.8281560406
470	0.8275503673
471	0.8255216601
472	0.8226920727
473	0.8200970678
474	0.8194922386
475	0.8165069732
476	0.8131777133
477	0.8106882691
478	0.8085265907
479	0.8065309989
480	0.8044196267
481	0.8038416269
482	0.801523919
483	0.796961223
484	0.7944439299
485	0.7914186166
486	0.7886576799
487	0.7880435438
488	0.7840827691
489	0.781237198
490	0.7794260062
491	0.7771363072
492	0.7736153557
493	0.7696425764
494	0.7657113521
495	0.7639314314
496	0.7607727537
497	0.7583958571
498	0.7572131693
499	0.7534602691
