pid,fnm,lnm,hght,t,ddst,cx,cy,cz,cvx,cvy,cvz,cv,cax,cay,caz,ca,rt,dx,dy,dz,d
201935,James,Harden,77,0,25,-0.1145093509444356,0.1680846790289842,3.3473054010159005,-7.779791669143686,-3.286493040394131,5.62234912816883,10.145787531722581,-0.6971210929487264,0.0805104352075147,98.9300521538893,98.93254105156537,-0.379,NA,NA,NA,NA
201935,James,Harden,77,0.0010000000000000009,25,-0.12228678826989607,0.16479899247422644,3.3530275617567056,-7.777437325460469,-3.2856865547577465,5.72216074080511,10.199381894565613,2.3543436832165177,0.8064856363843014,99.81161263628016,99.84263302975958,-0.379,-0.007777437325460476,-0.0032856865547577496,0.005722160740805116,0.010199381894565622
201935,James,Harden,77,0.0020000000000000018,25,-0.13005881978689754,0.16151483838030628,3.3588504156706276,-7.772031517001461,-3.284154093920158,5.822853913922005,10.251622784552374,5.405808459007839,1.5324608375886215,100.69317311689466,100.8498205931133,-0.379,-0.007772031517001468,-0.0032841540939201608,0.00582285391392201,0.010251622784552383
201935,James,Harden,77,0.0030000000000000027,25,-0.13782239403066404,0.15823294272242466,3.3647748443181493,-7.763574243766495,-3.281895657881614,5.924428647521735,10.302561766244011,8.457273234966138,2.2584360385438074,101.5747335997296,101.95122613174941,-0.379,-0.007763574243766502,-0.003281895657881617,0.00592442864752174,0.01030256176624402
201935,James,Harden,77,0.0040000000000000036,25,-0.14557445953641968,0.15495403147578293,3.37080172925975,-7.752065505755628,-3.2789112466417274,6.026884941600747,10.352251961200214,11.508738010867592,2.9844112398866836,102.45629407901183,103.14383140768285,-0.379,-0.007752065505755634,-0.0032789112466417303,0.006026884941600752,0.010352251961200223
201935,James,Harden,77,0.0050000000000000044,25,-0.15331196483938853,0.15167883061558213,3.3769319520559127,-7.737505302968843,-3.2752008602008025,6.1302227961625935,10.40074807495704,14.560202786784147,3.7103864409249145,103.33785456184677,104.42451176892651,-0.379,-0.00773750530296885,-0.0032752008602008054,0.006130222796162599,0.010400748074957049
201935,James,Harden,77,0.006000000000000005,25,-0.1610318584747945,0.14840806611702342,3.3831663942671186,-7.719893635405977,-3.2707644985587008,6.234442211205943,10.448106423265418,17.611667562866792,4.436361642101701,104.21941504334943,105.79006858369257,-0.379,-0.007719893635405983,-0.0032707644985587037,0.006234442211205948,0.010448106423265428
201935,James,Harden,77,0.007000000000000006,25,-0.16873108897786185,0.14514246395530797,3.3895059374538485,-7.699230503067333,-3.26560216171545,6.339543186729907,10.494384957413018,20.6631323386439,5.162336843250954,105.10097552396392,107.23725945685278,-0.379,-0.007699230503067339,-0.003265602161715453,0.006339543186729912,0.010494384957413028
201935,James,Harden,77,0.008000000000000007,25,-0.1764066048838146,0.1418827501056369,3.3959514631765835,-7.675515905952745,-3.259713849671078,6.44552572273493,10.539643288399692,23.71459711458799,5.888312044371785,105.98253600502251,108.76282578664004,-0.379,-0.007675515905952751,-0.003259713849671081,0.006445525722734935,0.010539643288399701
201935,James,Harden,77,0.009000000000000008,25,-0.18405535472787676,0.1386296505432113,3.4025038529958067,-7.648749844062157,-3.2530995624255845,6.55238981922323,10.583942709744543,26.76606189058803,6.614287245493505,106.86409648830066,110.36351744647105,-0.379,-0.007648749844062164,-0.0032530995624255876,0.006552389819223237,0.010583942709744552
201935,James,Harden,77,0.010000000000000009,25,-0.1916742870452724,0.13538389124323244,3.4091639884719958,-7.618932317395625,-3.245759299978859,6.660135476189038,10.627346218677856,29.817526666531233,7.340262446725359,107.74565696580741,112.03611446444201,-0.379,-0.0076189323173956325,-0.003245759299978862,0.006660135476189044,0.010627346218677865
201935,James,Harden,77,0.01100000000000001,25,-0.1992603503712257,0.13214619818090137,3.4159327511656357,-7.5860633259532895,-3.237693062331068,6.768762693639901,10.669918535492739,32.868991442335876,8.066237647791123,108.6272174508628,113.77744574099043,-0.379,-0.007586063325953296,-0.0032376930623310707,0.006768762693639907,0.010669918535492748
201935,James,Harden,77,0.01200000000000001,25,-0.2068104932409605,0.12891729733141927,3.4228110226372075,-7.550142869734815,-3.2289008494820997,6.878271471571822,10.71172612074415,35.92045621847448,8.792212848968354,109.50877793192139,115.58440476927578,-0.379,-0.007550142869734822,-0.0032289008494821025,0.0068782714715718285,0.010711726120744159
201935,James,Harden,77,0.013000000000000012,25,-0.21432166418970128,0.12569791466998725,3.4297996844471887,-7.511170948740757,-3.2193826614320105,6.98866180998125,10.752837190073445,38.97192099405796,9.518188050089185,110.39033840942726,117.45396265716975,-0.379,-0.007511170948740764,-0.003219382661432013,0.006988661809981256,0.010752837190073455
201935,James,Harden,77,0.014000000000000012,25,-0.2217908117526717,0.12248877617180648,3.436899618156065,-7.469147562970423,-3.209138498180772,7.0999337088761765,10.793321726343986,42.02338577033423,10.244163251238438,111.27189889492674,119.38317853032375,-0.379,-0.00746914756297043,-0.0032091384981807747,0.007099933708876183,0.010793321726343997
201935,James,Harden,77,0.015000000000000013,25,-0.22921488446509602,0.11929060781207809,3.4441117053243158,-7.424072712424311,-3.1981683597283843,7.21208716825083,10.833251488771932,45.074850546111335,10.970138452387692,112.15345937465305,121.36920754096066,-0.379,-0.007424072712424318,-0.003198168359728387,0.007212087168250836,0.010833251488771942
201935,James,Harden,77,0.016000000000000014,25,-0.23659083086219826,0.11610413556600323,3.451436827512424,-7.375946397102227,-3.1864722460748616,7.325122188108318,10.872700018792365,48.12631532208385,11.696113653522733,113.035019857488,123.40930684214813,-0.379,-0.007375946397102234,-0.0031864722460748646,0.007325122188108324,0.010872700018792375
201935,James,Harden,77,0.017000000000000015,25,-0.24391559947920238,0.11293008540878312,3.458875866280869,-7.324768617004117,-3.174050157220107,7.439038768445088,10.911742642292586,51.17778009811054,12.422088854754588,113.91658033677022,125.50083961037792,-0.379,-0.007324768617004124,-0.0031740501572201096,0.007439038768445094,0.010911742642292596
201935,James,Harden,77,0.018000000000000016,25,-0.25118613885133273,0.10976918331561876,3.466429703190133,-7.27053937213034,-3.1609020931643554,7.553836909263804,10.950456467929746,54.22924487377662,13.148064055751517,114.79814081871609,127.64127750625167,-0.379,-0.007270539372130347,-0.0031609020931643583,0.007553836909263811,0.010950456467929755
201935,James,Harden,77,0.019000000000000017,25,-0.25839939751381313,0.10662215526171132,3.4740992198006975,-7.213258662480397,-3.1470280539074413,7.669516610564468,10.988920381168171,57.28070964994276,13.874039256914093,115.67970130066375,129.82820169868418,-0.379,-0.007213258662480404,-0.003147028053907444,0.007669516610564475,0.010988920381168181
201935,James,Harden,77,0.020000000000000018,25,-0.2655523240018677,0.10348972722226207,3.4818852976730446,-7.152926488054539,-3.1324280394492394,7.786077872347079,11.027215033728726,60.33217442585842,14.600014458201903,116.56126178261052,132.0593027449644,-0.379,-0.007152926488054545,-0.003132428039449242,0.007786077872347086,0.011027215033728737
201935,James,Harden,77,0.02100000000000002,25,-0.27264186685072067,0.10037262517247209,3.4897888183676535,-7.089542848852986,-3.1171020497899855,7.9035206946089716,11.065422828100141,63.38363920155293,15.3259896592539,117.44282226189274,134.3323794857618,-0.379,-0.007089542848852992,-0.003117102049789988,0.007903520694608979,0.011065422828100151
201935,James,Harden,77,0.02200000000000002,25,-0.2796649745955958,0.09727157508754244,3.4978106634450077,-7.023107744875128,-3.101050084929638,8.021845077354143,11.103627896792924,66.43510397785762,16.051964860347642,118.32438274517177,136.64533716322885,-0.379,-0.0070231077448751345,-0.0031010500849296407,0.00802184507735415,0.011103627896792933
201935,James,Harden,77,0.02300000000000002,25,-0.2866185957717175,0.09418730294267437,3.5059517144655863,-6.953621176121688,-3.084272144868072,8.141051020578598,11.141916075984456,69.48656875344022,16.77794006156573,119.205943224454,138.9961848752253,-0.379,-0.006953621176121694,-0.003084272144868075,0.008141051020578605,0.011141916075984467
201935,James,Harden,77,0.02400000000000002,25,-0.2934996789143096,0.09112053471306897,3.5142128529898726,-6.881083142592109,-3.066768229605399,8.26113852428633,11.180374873269235,72.53803352957881,17.50391526267324,120.08750370773302,141.38303259095818,-0.379,-0.006881083142592115,-0.0030667682296054016,0.008261138524286338,0.011180374873269245
201935,James,Harden,77,0.025000000000000022,25,-0.3003051725585963,0.08807199637392737,3.5225949605783486,-6.80549364428667,-3.0485383391415906,8.38210758847601,11.21909342916929,75.58949830543942,18.229890463808278,120.96906418967978,143.8040877420296,-0.379,-0.006805493644286675,-0.0030485383391415932,0.008382107588476018,0.0112190934291693
201935,James,Harden,77,0.026000000000000023,25,-0.3070320252398016,0.0850424139004508,3.531098918791491,-6.7268526812053135,-3.0295824734765775,8.503958213142308,11.258162472140206,78.64096308135598,18.955865665013043,121.85062466629748,146.25765159142998,-0.379,-0.00672685268120532,-0.0030295824734765803,0.008503958213142315,0.011258162472140216
201935,James,Harden,77,0.027000000000000024,25,-0.3136771854931496,0.08203251326784035,3.5397256091897873,-6.645160253347987,-3.009900632610443,8.626690398296326,11.297674266809192,81.6924278573267,19.68184086613432,122.7321851540174,148.74211542728702,-0.379,-0.0066451602533479925,-0.003009900632610446,0.008626690398296333,0.011297674266809202
201935,James,Harden,77,0.028000000000000025,25,-0.3202376018538643,0.07904302045129707,3.548475913333716,-6.5604163607146875,-2.989492816543271,8.750304143928737,11.33772255514101,84.74389263329921,20.407816067172107,123.61374563241145,151.25595659196432,-0.379,-0.006560416360714694,-0.002989492816543274,0.008750304143928744,0.01133772255514102
201935,James,Harden,77,0.029000000000000026,25,-0.3267102228571697,0.07607466142602226,3.5573507127837587,-6.4726210033054175,-2.968359025274811,8.874799450042651,11.378402490413064,87.79535740926995,21.133791268459916,124.49530611391413,153.7977345749848,-0.379,-0.006472621003305423,-0.0029683590252748138,0.008874799450042659,0.011378402490413074
201935,James,Harden,77,0.030000000000000027,25,-0.3330919970382902,0.07312816216721699,3.566350889100396,-6.381774181120453,-2.9464992588052716,9.000176316637178,11.41981056373145,90.84682218496445,21.859766469539448,125.37686659452685,156.3660870146437,-0.379,-0.006381774181120459,-0.002946499258805274,0.009000176316637187,0.011419810563731462
201935,James,Harden,77,0.031000000000000028,25,-0.33937987293244964,0.07020424865008244,3.5754773238441095,-6.287875894159462,-2.923913517134541,9.126434743713654,11.462044523002755,93.89828696099114,22.585741670730442,126.25842707647539,158.95972580767514,-0.379,-0.006287875894159467,-0.0029239135171345437,0.009126434743713663,0.011462044523002765
201935,James,Harden,77,0.03200000000000003,25,-0.3455707990748721,0.06730364684981971,3.584730898575381,-6.190926142422443,-2.900601800262731,9.253574731271632,11.505203284246912,96.94975173701872,23.311716871809974,127.13998755797806,161.5774332684605,-0.379,-0.006190926142422448,-0.0029006018002627337,0.009253574731271641,0.011505203284246921
201935,James,Harden,77,0.03300000000000003,25,-0.3516617240007816,0.06442708274162993,3.5941124948546923,-6.0909249259095075,-2.876564108189772,9.381596279311113,11.549386835220972,100.00121651293527,24.037692072959228,128.02154803948073,164.21805840615227,-0.379,-0.006090924925909513,-0.0028765641081897747,0.009381596279311122,0.011549386835220983
201935,James,Harden,77,0.03400000000000003,25,-0.35764959624540227,0.061575282300714296,3.6036229942425235,-5.987872244620657,-2.8518004409156363,9.510499387831208,11.594696131362944,103.05268128885005,24.76366727413557,128.90310852009523,166.8805133136546,-0.379,-0.005987872244620662,-0.002851800440915639,0.009510499387831217,0.011594696131362955
