subset_id,n_features,cv_mse,angle_mse,depth_mse,lr_mse,angle_std,depth_mean,profile_pass
1,15,0.037966037941231386,0.07454860602151157,0.02344450532195279,0.01590500248022981,4.237263038180002,9.625377134869462,False
2,15,0.022925375489118754,0.032134331087168934,0.019773242745561134,0.0168685526346262,6.013847509596412,7.0957918800083934,False
3,15,0.028088913763734926,0.04592644645345031,0.02040139672582198,0.017938898111932486,4.359075725016509,10.315564742130515,False
4,15,0.02918020281627191,0.0545972587333425,0.016811898776042045,0.01613145093943117,4.552286185127882,9.07110071182251,False
