feature_idx,feature_name,target,feature_type,pearson_r,pearson_p,spearman_r,spearman_p,n_valid,pearson_significant,spearman_significant
0,nose_x,angle,raw_mean,0.46937735136448655,2.6438537479605912e-20,0.6042919645214284,1.0149918805695494e-35,345,True,True
0,nose_x,angle,raw_std,-0.2816161434237744,1.0384964526582029e-07,-0.37038969020497453,1.1676420226375342e-12,345,True,True
0,nose_x,depth,raw_mean,-0.060074966572022104,0.2657949204103777,-0.0344093980925108,0.5241278918822371,345,False,False
0,nose_x,depth,raw_std,0.09792172422977696,0.06928109118747414,0.08156759546834762,0.13051531261105773,345,False,False
0,nose_x,left_right,raw_mean,-0.02180499195537428,0.6865158137414488,0.04389270731633756,0.4163879109269338,345,False,False
0,nose_x,left_right,raw_std,0.07355478725463657,0.17284839203381822,0.09362582618811426,0.08247062151652257,345,False,False
1,nose_y,angle,raw_mean,0.179487782473247,0.0008111101465091737,0.14000769595055224,0.009216236322349549,345,True,True
1,nose_y,angle,raw_std,-0.20308953740278954,0.0001457587625222461,-0.40021248244682517,1.0571517760353865e-14,345,True,True
1,nose_y,depth,raw_mean,0.04669709475077359,0.38721226568597156,0.059988975515959934,0.26648102093786386,345,False,False
1,nose_y,depth,raw_std,0.034096209558696716,0.5279136149324435,0.029857576666537006,0.5804754241924538,345,False,False
1,nose_y,left_right,raw_mean,0.07714168031753617,0.15278181033679586,0.036564894413908214,0.49845396888405924,345,False,False
1,nose_y,left_right,raw_std,0.0958306203987564,0.07546826582040214,0.08335077597699939,0.12228744733524669,345,False,False
2,nose_z,angle,raw_mean,-0.4320546042043282,4.015706555090018e-17,-0.5968931711731262,1.1148118135607455e-34,345,True,True
2,nose_z,angle,raw_std,0.02313950261286659,0.6684365771026155,0.02622000057143269,0.6274416747760702,345,False,False
2,nose_z,depth,raw_mean,0.19180613078036876,0.00033962572660558367,0.17114719293999475,0.0014180269617319555,345,True,True
2,nose_z,depth,raw_std,-0.10252387557143296,0.05711874423276319,-0.0498126970063071,0.3562966799524527,345,False,False
2,nose_z,left_right,raw_mean,0.02155962131479224,0.6898598688552887,-0.0022005127370115594,0.9675155915958928,345,False,False
2,nose_z,left_right,raw_std,0.027907478579171047,0.6054509251748191,0.014319405592771102,0.7909944637279489,345,False,False
3,left_eye_x,angle,raw_mean,0.48366350543228825,1.2514289981030374e-21,0.6059855553753851,5.8129186590257574e-36,345,True,True
3,left_eye_x,angle,raw_std,-0.28563455068761856,6.698945799227179e-08,-0.3859220078980068,1.0692926475583318e-13,345,True,True
3,left_eye_x,depth,raw_mean,-0.05151917128168217,0.34003963076638183,-0.030940445501845177,0.566817559325061,345,False,False
3,left_eye_x,depth,raw_std,0.09483774073529497,0.07855939622459093,0.06876589701093913,0.20261272473967373,345,False,False
3,left_eye_x,left_right,raw_mean,-0.021065820197152543,0.6966079316895201,0.04194840645125575,0.4373527553971937,345,False,False
3,left_eye_x,left_right,raw_std,0.07374524443592605,0.171735844188893,0.09749747200435564,0.07050165365790809,345,False,False
4,left_eye_y,angle,raw_mean,0.2231387610631548,2.884121674677772e-05,0.1591711518924208,0.003030114893037973,345,True,True
4,left_eye_y,angle,raw_std,-0.20196817549106916,0.0001588751153212645,-0.39167285652372397,4.270845902044808e-14,345,True,True
4,left_eye_y,depth,raw_mean,0.051440359644061184,0.34077985452910126,0.07036411848180686,0.1922919567016069,345,False,False
4,left_eye_y,depth,raw_std,0.031001972393502955,0.5660461689756229,0.01754843668218531,0.7453401546669597,345,False,False
4,left_eye_y,left_right,raw_mean,0.07911478298692226,0.14252350501878752,0.034758895912615856,0.5199196910970815,345,False,False
4,left_eye_y,left_right,raw_std,0.09537037097883098,0.07688864394696482,0.08469329330951349,0.11636363817444516,345,False,False
5,left_eye_z,angle,raw_mean,-0.42956530983728825,6.343863871050867e-17,-0.5958254987581633,1.5673422002163322e-34,345,True,True
5,left_eye_z,angle,raw_std,0.021575686510895135,0.6896407375005554,0.029549483705152823,0.5843891579455559,345,False,False
5,left_eye_z,depth,raw_mean,0.19221327049867937,0.00032968360809036424,0.17263948000179505,0.0012854756553823247,345,True,True
5,left_eye_z,depth,raw_std,-0.10492120655121576,0.05151921195876375,-0.051010270962967764,0.34483746899727763,345,False,False
5,left_eye_z,left_right,raw_mean,0.021303913649443052,0.6933512298912453,0.00046304281962746555,0.9931626715536384,345,False,False
5,left_eye_z,left_right,raw_std,0.027463844413827848,0.6111989154474895,0.009063453820463696,0.8667888814818163,345,False,False
6,right_eye_x,angle,raw_mean,0.4848719867960699,9.60423434698831e-22,0.6271423310223209,4.1096859421568546e-39,345,True,True
6,right_eye_x,angle,raw_std,-0.2853278051650963,6.928615738338935e-08,-0.38659034423659183,9.619982106782804e-14,345,True,True
6,right_eye_x,depth,raw_mean,-0.0653259794825912,0.22617695544325242,-0.045756212779370746,0.39685950787798935,345,False,False
6,right_eye_x,depth,raw_std,0.0985723831877817,0.0674427812386712,0.09870676004046705,0.06706814870239229,345,False,False
6,right_eye_x,left_right,raw_mean,-0.020876099189117505,0.6992069784052153,0.046539821573109284,0.3888148641215603,345,False,False
6,right_eye_x,left_right,raw_std,0.07453502278339555,0.16717928799841325,0.08205077851211282,0.12824471930094034,345,False,False
7,right_eye_y,angle,raw_mean,0.14721151679572575,0.00615610214080204,0.1385075190401341,0.010002220029652249,345,True,True
7,right_eye_y,angle,raw_std,-0.2037435727051982,0.00013858467271651246,-0.40376632512873717,5.842493508751832e-15,345,True,True
