target,config,lopo_mse,vs_baseline
angle,mid_hip_f100,0.07473266313690612,-193.20128621699527
angle,mid_hip_f110,0.13979775569216804,-448.473452686994
angle,mid_hip_f120,0.19949267276372487,-682.6766207707205
angle,mid_hip_f130,0.1876236453966125,-636.1104481748521
angle,mid_hip_f140,0.15835759020402596,-521.2899043218341
angle,mid_hip_f150,0.09056363344913615,-255.31148894194894
angle,mid_hip_f160,0.06712998807463326,-163.3734436996657
angle,mid_hip_f170,0.12453346357206466,-388.58651844771276
angle,mid_hip_f180,0.12007794360310413,-371.10602021802237
angle,right_wrist_f120_vel3,0.07029040122044286,-175.7728037710568
angle,right_wrist_f120_vel5,0.0757530172224004,-197.2044772944446
angle,right_wrist_f120_vel10,0.08934565686929782,-250.53295858051166
angle,right_wrist_f140_vel3,0.0528655654877176,-107.40933277316758
angle,right_wrist_f140_vel5,0.048966194224241553,-92.11079232380204
angle,right_wrist_f140_vel10,0.04614930637784505,-81.05919714406858
angle,right_wrist_f150_vel3,0.03580540137736025,-40.4765907796661
angle,right_wrist_f150_vel5,0.03504664919733575,-37.499751660530414
angle,right_wrist_f150_vel10,0.03021968628055046,-18.561958247087
angle,right_wrist_f160_vel3,0.054755097710686935,-114.82260101316253
angle,right_wrist_f160_vel5,0.055215857629425526,-116.6303166108779
angle,right_wrist_f160_vel10,0.0546499303533936,-114.4099942207355
angle,right_elbow_f120_vel3,0.02061805137997077,19.108473722915793
angle,right_elbow_f120_vel5,0.0190035899351574,25.442547102581848
angle,right_elbow_f120_vel10,0.020205309643644358,20.7277978963986
angle,right_elbow_f140_vel3,0.041021936989669966,-60.942808453777616
angle,right_elbow_f140_vel5,0.04172331928788004,-63.694566297443565
angle,right_elbow_f140_vel10,0.04423172207094197,-73.53587117636529
angle,right_elbow_f150_vel3,0.04091937961665572,-60.54044150448629
angle,right_elbow_f150_vel5,0.05133262179886814,-101.39508087309146
angle,right_elbow_f150_vel10,0.07903409898194866,-210.07726078297503
angle,right_elbow_f160_vel3,0.054266405677064,-112.90529836653059
angle,right_elbow_f160_vel5,0.05426805944737574,-112.91178666177066
angle,right_elbow_f160_vel10,0.05524795863999543,-116.75625963489028
angle,left_wrist_f120_vel3,0.06518913162950093,-155.75881333338458
