feature,importance_mean,importance_std
phase_propulsion_mid_hip_vel_mean,1.0625400677323342,0.1003025488216591
phase_setup_right_elbow_vel_max,0.8998012915253639,0.06594895738264012
lr_f237_left_ankle_y,0.8691356018185615,0.11965100640051543
phase_propulsion_right_wrist_vel_max,0.8076015129685402,0.061960264793563
angle_window_left_ankle_z_std,0.7803287461400032,0.0392195293817628
phase_propulsion_right_elbow_vel_max,0.7236381843686104,0.11756836030238985
elbow_alignment,0.7215865567326546,0.05385472527714055
angle_f153_left_knee_vz,0.6422030463814735,0.0680051549332133
phase_setup_right_wrist_z_range,0.5745106145739556,0.055451723544798326
angle_f153_right_big_toe_vz,0.5464490756392479,0.07495708842112773
shoulder_rotation,0.5005903825163841,0.06141613532412445
lateral_offset,0.43553624898195265,0.08669910504530923
phase_setup_right_wrist_z_mean,0.39816149026155473,0.05957328155047956
hip_lateral_range,0.392126752436161,0.04796514479219732
phase_setup_right_knee_z_mean,0.3810271039605141,0.0351851177651128
left_wrist_z_range,0.3769272223114967,0.046192925513427935
lr_f237_right_elbow_x,0.3653320237994194,0.044544598299425836
wrist_y_release,0.3648415431380272,0.03626660887433074
neck_z_range,0.3146568849682808,0.03439688674093112
neck_z_min,0.3116884157061577,0.037542525420168095
lr_f237_right_ankle_y,0.29153497368097303,0.04260788887566832
angle_f153_right_ankle_z,0.28907739371061325,0.03834218776025832
left_wrist_z_min,0.2836442455649376,0.030703467888950266
right_knee_vel_prop_mean,0.27303102016448977,0.03196001147551381
phase_propulsion_right_knee_vel_mean,0.2727651342749596,0.031963615371126165
lr_elbow_deviation_f237,0.26864689886569976,0.03359565648663229
phase_setup_mid_hip_z_range,0.2620018795132637,0.01694511855805563
right_elbow_vel_max_time,0.2539899468421936,0.03589190241544685
right_knee_z_q25,0.2444104015827179,0.04256800298435558
phase_setup_mid_hip_z_mean,0.24295161813497543,0.023692461837197257
phase_load_right_knee_vel_max,0.24198212176561357,0.024009959571861087
angle_window_right_ankle_z_mean,0.23734754621982573,0.03014368347029618
depth_f102_right_shoulder_z,0.23026835471391677,0.01677848181120534
angle_window_right_knee_z_std,0.22899679243564605,0.02606841512939259
left_wrist_z_max,0.21651183813810349,0.024589789634394416
lr_hip_x_follow,0.21641586273908614,0.031381269574431714
phase_follow_mid_hip_vel_mean,0.21398978531360627,0.030957629966243214
phase_follow_right_knee_z_range,0.20993485450744628,0.026041118923226997
right_shoulder_z_range,0.20476206988096238,0.021925081198612233
angle_f153_right_heel_z,0.20157043337821962,0.023781004807943523
lr_hip_x_range,0.19470284730196,0.05409933584036498
angle_window_left_knee_z_std,0.18743995279073716,0.02149196268226913
arm_plane_angle,0.18241568356752397,0.012381867516544942
azimuth_angle,0.18241565227508544,0.012381868321871855
angle_f153_left_small_toe_vz,0.17851834148168563,0.023296243944826444
phase_load_mid_hip_vel_mean,0.17681811302900313,0.012147338599614409
right_wrist_z_min,0.16360504925251007,0.02270017714554924
depth_f102_left_third_finger_pip_vel_mag,0.16345223486423494,0.0138053603276788
lr_f237_right_hip_x,0.16208248138427733,0.027192613389685438
release_wrist_z,0.16206493973731995,0.01573330179906697
right_elbow_vel_min,0.148010490834713,0.016209209635976603
angle_f153_right_knee_angle,0.14506348296999932,0.020901572746779253
right_knee_vel_mean,0.1440713994204998,0.02494742049783537
angle_f153_left_big_toe_vz,0.14366356134414673,0.01813536468260186
right_elbow_z_min,0.14097992777824403,0.01730383536441304
right_knee_vel_min,0.13909134343266488,0.01616419471555927
release_frame_detected,0.13875630348920823,0.014656891973209121
angle_f153_right_small_toe_vz,0.13741625770926474,0.019859904135497663
phase_setup_right_knee_z_range,0.13716840222477913,0.02031129538921375
angle_f153_right_big_toe_z,0.13512974455952645,0.0181437155955661
depth_f102_right_wrist_x,0.13430727124214173,0.022039703596030767
phase_follow_right_knee_vel_mean,0.13368238508701324,0.022978492857101955
right_shoulder_z_q25,0.1285908743739128,0.01601513910891725
angle_f153_right_ankle_y,0.12750881314277648,0.011695000711174526
lr_f237_mid_hip_x,0.12745362892746925,0.023849133273184525
angle_f153_left_ankle_vz,0.1272265985608101,0.0134067374418855
lr_f237_right_wrist_x,0.12268687337636948,0.01296174937076699
right_wrist_z_range,0.12203925102949142,0.015480367547533541
angle_f153_right_heel_y,0.12135780900716782,0.011357570532371792
right_knee_vel_release_mean,0.120912367105484,0.022210159585919962
phase_setup_right_knee_vel_max,0.1187974400818348,0.012416122930442064
release_wrist_y,0.11752416789531708,0.013674496120637751
arm_extension_angle,0.11503665819764138,0.015318485000887828
angle_f153_right_heel_vz,0.11068760752677917,0.014193510223736393
depth_f102_right_wrist_vel_mag,0.10452674217522144,0.021733148353364568
right_shoulder_z_min,0.10041669011116028,0.020955608957305062
depth_f102_right_elbow_y,0.09988593459129333,0.010193589939896282
guide_hand_vx,0.09940449744462967,0.010457761082727777
right_hip_z_max,0.0979660540819168,0.010217509070264981
lr_f237_left_hip_x,0.09575236812233925,0.01957648116008916
right_shoulder_z_max,0.09221168085932732,0.011842656337041981
angle_f153_right_ankle_vz,0.09195460304617882,0.011796121701215294
mid_hip_z_q25,0.09144559428095818,0.012062929081949081
angle_f153_left_knee_z,0.08887852728366852,0.011006455591679596
depth_f102_left_second_finger_pip_vel_mag,0.08815346807241439,0.0121494618108742
depth_f102_right_shoulder_x,0.08268816098570823,0.01166450357551105
mid_hip_z_max,0.08202382326126098,0.00840463335102446
lr_hip_x_release,0.08145185485482216,0.01504646906512221
phase_setup_right_wrist_vel_mean,0.0804481029510498,0.007767770511253529
right_wrist_vel_prep_mean,0.07938355877995491,0.007687292866148515
lr_elbow_deviation_f153,0.078569096326828,0.009966056974217461
set_position_stability,0.0773898757994175,0.005558672336383841
wrist_vel_smoothness,0.07666556164622307,0.013493157629109418
lr_f237_left_hip_z,0.07548623122274875,0.01280109845818863
angle_window_left_knee_z_mean,0.07395712360739708,0.00875346456319532
knee_bend_depth,0.0703025482594967,0.013925744872055976
depth_f102_left_second_finger_mcp_y,0.06997937113046646,0.00902466175573875
right_shoulder_z_q75,0.06953821703791618,0.007453086359887493
wrist_vx_release,0.06931146159768105,0.014328563209615732
lr_f237_right_third_finger_distal_y,0.0692595325410366,0.010448652891429181
angle_f153_right_hip_z,0.06883947551250458,0.0062222465708314635
right_wrist_vel_std,0.06752263568341732,0.012358295759349996
lr_hip_x_std,0.06624924317002297,0.01710786316153814
depth_f102_left_wrist_x,0.06569224298000335,0.012023138702099846
right_elbow_z_q75,0.06492861583828927,0.008203353027954293
depth_f102_right_shoulder_vel_mag,0.06476089358329773,0.008161629517805054
lr_f237_right_second_finger_dip_y,0.0646326158195734,0.009942987737871556
left_wrist_z_mean,0.06431752108037472,0.010861727525422839
right_elbow_z_max,0.06316991671919822,0.009019907382805677
lr_f237_right_third_finger_dip_y,0.059561005979776385,0.009391849475742661
phase_propulsion_mid_hip_vel_max,0.059441857039928436,0.006894544732079627
angle_f153_right_knee_y,0.05939027927815914,0.006924113513515946
right_knee_z_q75,0.05912224501371384,0.005608119803558677
lr_f237_right_ankle_x,0.05824409872293472,0.009244449369291799
depth_f102_right_elbow_z,0.05787353068590164,0.0025156382943588435
hip_vertical_velocity_max,0.05572589561343193,0.006880726528341421
knee_extension_rate_max,0.05537557788193226,0.0092987422582572
angle_f153_right_hip_x,0.0549516461789608,0.009969831027437072
lr_f237_right_third_finger_pip_y,0.05443190708756447,0.008730390319139693
wrist_jerk_mean,0.05373005047440529,0.010424050458218332
lr_f237_right_second_finger_pip_y,0.05348392575979233,0.008611395788983314
left_wrist_z_std,0.051057367399334905,0.0065989397727838385
left_wrist_z_q25,0.04971024990081787,0.0027695185276484075
phase_load_mid_hip_z_range,0.049590354412794115,0.005292244151203285
phase_load_right_wrist_z_range,0.048316951096057895,0.003812279166579138
left_wrist_z_energy,0.04755746647715568,0.008435645704863359
angle_f153_left_small_toe_z,0.04727602675557137,0.006984136488639554
mid_hip_z_std,0.047133073955774304,0.00543787063816749
angle_f153_right_knee_z,0.04445509314537048,0.007277923115109923
depth_f102_left_third_finger_mcp_x,0.04441101923584938,0.008226305126021165
shoulder_elevation_rate,0.0422085240483284,0.0041439571671964045
right_elbow_z_mean,0.04206531681120396,0.00551324641580486
right_knee_z_std,0.04195805639028549,0.005209443460256373
angle_f153_mid_hip_x,0.04145390130579472,0.007649761772005478
phase_setup_right_knee_vel_mean,0.04082469679415226,0.005586837688235722
phase_follow_right_elbow_z_mean,0.04029077887535095,0.005213746644447878
angle_f153_left_hip_vz,0.039903688803315164,0.00500945344999425
angle_f153_right_knee_vz,0.039772335439920425,0.005189674479092763
lr_f237_right_first_finger_mcp_y,0.03950653187930584,0.006762986709324719
depth_window_right_wrist_y_std,0.03924308754503727,0.006612435438916653
elevation_angle,0.03872966878116131,0.005041593200649438
right_shoulder_z_mean,0.03832369446754456,0.005244343389077487
right_elbow_vel_std,0.038249822705984114,0.006879718430403867
right_elbow_z_energy,0.03783351927995682,0.005435380901896477
right_knee_vel_prep_mean,0.03671842887997627,0.005075593091496073
phase_load_right_knee_z_range,0.03622209057211876,0.0046820349819774185
release_vx,0.03611529432237148,0.008456783975733868
angle_f153_right_ankle_x,0.03593895211815834,0.004659781478363084
phase_follow_mid_hip_z_range,0.03538682758808136,0.0060901803527192355
depth_f102_right_wrist_y,0.03481665663421154,0.005544682663301406
depth_f102_left_third_finger_mcp_y,0.034735876321792605,0.002988655240709421
angle_f153_left_hip_x,0.03467836081981659,0.00637301703152158
time_to_peak_velocity,0.03443552032113075,0.005596940221048723
right_wrist_vel_max_time,0.0344355184584856,0.005596941866794469
release_time,0.034435518085956573,0.0055969376674243
release_frame,0.03443549908697605,0.005596932577885966
phase_follow_right_wrist_z_mean,0.034199800714850424,0.004542063299052737
phase_propulsion_mid_hip_z_mean,0.034163836017251016,0.003972118077494053
depth_f102_left_first_finger_cmc_x,0.03408743552863598,0.007010308249990218
angle_window_left_ankle_z_mean,0.033341558277606965,0.006177540506319308
lr_f237_right_wrist_y,0.032506437972187996,0.005864147653059509
phase_propulsion_right_knee_vel_max,0.032384570315480234,0.0020251936008716153
lr_hip_x_setup,0.030902038514614105,0.005388201072442353
phase_load_right_elbow_vel_max,0.030617403984069824,0.003720953688248413
lr_f237_left_ankle_z,0.03027301449328661,0.008048998593507474
depth_f102_left_second_finger_pip_x,0.030175748467445373,0.0062337794756144324
lr_f237_right_first_finger_mcp_x,0.02951386533677578,0.0035185033690582723
neck_z_q25,0.0290347121655941,0.004554070114176927
right_hip_z_q75,0.02869640365242958,0.004470728741795481
right_knee_vel_load_mean,0.02859025336802006,0.003278709065861527
phase_load_right_knee_vel_mean,0.028555796295404435,0.003269105426498894
angle_f153_left_heel_y,0.02843895461410284,0.003810344103351392
angle_f153_left_hip_y,0.028093399852514266,0.003152800324544547
right_shoulder_z_energy,0.02802107557654381,0.003267727859713848
right_shoulder_z_std,0.026121826469898225,0.0039047083525769995
right_hip_z_std,0.02605489417910576,0.0031465373176783043
angle_window_right_knee_z_mean,0.02574396040290594,0.00443570635125591
depth_f102_left_second_finger_pip_y,0.02528359591960907,0.0035370046795095826
depth_window_right_wrist_y_mean,0.025281424447894097,0.0043223413965065545
lr_f237_left_ankle_x,0.025231681205332278,0.006935065554282922
phase_follow_right_elbow_vel_mean,0.02514841966331005,0.003688961615738302
neck_z_std,0.02511770837008953,0.002852937723032028
right_elbow_vel_release_mean,0.024576754681766032,0.003626484030242408
phase_setup_right_wrist_vel_max,0.024261956848204137,0.0036533886796122224
angle_f153_right_small_toe_z,0.024015723168849944,0.003272660281836968
wrist_vz_release,0.021599288657307626,0.0032831189078131573
right_elbow_z_range,0.021081887185573578,0.0033063420578186686
right_elbow_vel_mean,0.0208132591098547,0.0036809264319027086
release_velocity_mag,0.01968574896454811,0.004506818614380547
angle_f153_mid_hip_z,0.019398787431418894,0.0023028060620020946
phase_load_right_knee_z_mean,0.01908783204853535,0.0032819429266571776
elbow_height_relative,0.019020288065075875,0.0026449695316721365
phase_load_right_wrist_vel_max,0.018455400504171847,0.003274648121117778
phase_setup_mid_hip_vel_max,0.018403241597115993,0.0031521110306827753
phase_setup_right_elbow_vel_mean,0.01833911221474409,0.0035826956296888205
right_elbow_vel_range,0.01831690426915884,0.0034734244197030914
phase_load_mid_hip_z_mean,0.017720130272209644,0.003844839824629642
right_knee_z_mean,0.01764548309147358,0.002961138637650499
right_elbow_vel_prep_mean,0.01756308451294899,0.0034863794632684435
right_elbow_vel_max,0.01729103922843933,0.0032951121216646126
angle_f153_left_big_toe_y,0.017018008790910245,0.0020745573237915677
phase_propulsion_mid_hip_z_range,0.01628476120531559,0.0023550884156905284
velocity_magnitude_release,0.016009598225355148,0.004015128255408742
peak_velocity_magnitude,0.016009588539600373,0.0040151307722467895
depth_f102_left_thumb_y,0.015375749953091145,0.0017939280906922991
depth_f102_left_first_finger_mcp_y,0.01537574976682663,0.0017939252013249756
phase_setup_mid_hip_vel_mean,0.015280302986502648,0.0019351400230501652
phase_setup_right_elbow_z_range,0.015080519020557404,0.0024126593603196645
angle_f153_left_knee_y,0.014460926875472069,0.002406315919506974
phase_follow_right_wrist_vel_max,0.014200698025524617,0.0035206977512683172
lr_f237_mid_hip_z,0.01412427369505167,0.003264473332681169
right_wrist_vel_max,0.014082596823573112,0.0036885804484576784
right_wrist_vel_range,0.014081807807087898,0.003695688221916087
phase_load_right_elbow_z_mean,0.01406668797135353,0.0015134388991862645
right_wrist_z_mean,0.013678601942956448,0.002368045203723482
jerk_at_release,0.013678565714508295,0.003986011372215377
angle_f153_left_ankle_y,0.013634301163256169,0.0021970180478085273
release_elevation_angle,0.013282847590744495,0.0022953565417840735
right_knee_z_energy,0.012867852114140987,0.001680347681626221
wrist_z_release,0.012733700312674045,0.0021747697044285285
