approach,cv_score
prototype,0.007677000607479777
temporal_attention,0.008283195082839125
manifold,0.009131020831410328
knn_raw_k5,0.009307123711678812
knn_raw_k7,0.00945220445765261
knn_raw_k3,0.009608865549073023
mean_baseline,0.01223475855096131
gaussian_process,0.7466983822467852
