submission,lb_score,model,within_player_mean,within_player_std,within_player_worst,lopo_mean,lopo_std,lopo_worst,bootstrap_mean,bootstrap_std
8,0.01022,lgb_baseline,0.009375882976866543,0.005614292622836793,0.028079006843294934,0.02223658237901945,0.010156906490900671,0.040020855246762375,0.009435449660421322,0.0011328379726108764
9,0.009109,ensemble_meta,0.008956141108838104,0.0,0.0,0.03310298501337445,0.013257173355061248,0.04667357545504632,0.0,0.0
10_approx,0.008907,lgb_aggressive,0.009458796667696757,0.005675801411605296,0.02831936593143486,0.022235611745875076,0.009663029668006745,0.03912664015941377,0.0,0.0
conservative,,lgb_conservative,0.009389004787952496,0.00567515481361409,0.028531402154944277,0.023258106420077074,0.010530347522444675,0.0405401715151805,0.0,0.0
