target,mean_r2,std_r2,min_r2,max_r2
angle,-6.653271865537578,4.55550510713047,-12.944057148963791,-1.2446429434457946
depth,-2.5494408254988317,3.4582844616568837,-9.358487132173432,-0.32156308744307704
left_right,-2.8484442432578985,1.976720913298449,-5.6139224683977025,-0.6896895092002122
