l1_ratio,alpha,multitask_lopo_mse,multitask_pp_mse,separate_lopo_mse,multitask_angle,multitask_depth,multitask_lr,separate_angle,separate_depth,separate_lr
0.1,0.01,0.03787393140279286,0.09785581565968311,0.03976222108146469,0.04229823698606725,0.045861157485453496,0.025462399736857835,0.05203743436827839,0.04120282405688515,0.02604640481923053
0.1,0.05,0.03012406348533279,0.025768410633578362,0.031145823768310335,0.048690708489836705,0.023615737206015286,0.018065744760146392,0.05169583567080242,0.02270494644732199,0.019036689186806597
0.1,0.1,0.02846180757096899,0.01455762547846654,0.02911204827300533,0.04851331810115547,0.020420620203766875,0.016451484407984624,0.04979948455950647,0.021530077263047235,0.016006582996462286
0.1,0.5,0.025028899853650644,0.011473094957556837,0.02546280663057204,0.044232724209702326,0.016658873907004112,0.01419510144424549,0.04512674751765321,0.017114344078790165,0.014147328295272741
0.1,1.0,0.02296969935388529,0.01259756794735712,0.022966464911469035,0.037765728078187184,0.016987803146406705,0.014155566837061965,0.0376377223603442,0.017114344078790165,0.014147328295272741
0.3,0.01,0.03132521193131538,0.05258313315556649,0.03442347312653677,0.04792767736174582,0.026905631912815503,0.0191423265193848,0.055556594496365345,0.0275272118008315,0.02018661308241347
0.3,0.05,0.02813811646878109,0.016395613721521964,0.02994172900185341,0.048225161791796575,0.020812065947048642,0.01537712166749807,0.05387027830838048,0.02103208262255707,0.014922826074622678
0.3,0.1,0.0275696039474093,0.012237810775199559,0.02754746388525151,0.05089248824739935,0.017393492634849118,0.014422830959979422,0.050928700124599255,0.01756636323588254,0.014147328295272741
0.3,0.5,0.022741638851782736,0.012627712511795258,0.022741638851782736,0.0369632441812853,0.017114344078790165,0.014147328295272741,0.0369632441812853,0.017114344078790165,0.014147328295272741
0.3,1.0,0.022741638851782736,0.012627712511795258,0.022741638851782736,0.0369632441812853,0.017114344078790165,0.014147328295272741,0.0369632441812853,0.017114344078790165,0.014147328295272741
0.5,0.01,0.030342373677392998,0.03013367778620507,0.03196739660363853,0.04984149849402441,0.02262819927293344,0.018557423265221137,0.053632270499538275,0.023001006044888687,0.01926891326648862
0.5,0.05,0.028348794577249134,0.014293294129196978,0.028309673592116242,0.05244977591891278,0.018001998019285738,0.014594609793548886,0.05269304941564873,0.01808027789189272,0.014155693468807275
0.5,0.1,0.026272731318975742,0.011369955301912968,0.02637252820696437,0.0478545054680398,0.01670273297836937,0.014260955510518055,0.04785591224683021,0.017114344078790165,0.014147328295272741
0.5,0.5,0.022741638851782736,0.012627712511795258,0.022741638851782736,0.0369632441812853,0.017114344078790165,0.014147328295272741,0.0369632441812853,0.017114344078790165,0.014147328295272741
0.5,1.0,0.022741638851782736,0.012627712511795258,0.022741638851782736,0.0369632441812853,0.017114344078790165,0.014147328295272741,0.0369632441812853,0.017114344078790165,0.014147328295272741
0.7,0.01,0.03029516270100363,0.020296730725332432,0.030645696521311206,0.052655258934735875,0.020308856271886402,0.017921372896388617,0.051770927815406355,0.02225770682735644,0.01790845492117082
0.7,0.05,0.02747392237785838,0.01137313948036553,0.02738667981281209,0.050850543149943424,0.017173754697679594,0.01439746928595213,0.05083749865421664,0.017175212488946885,0.014147328295272741
0.7,0.1,0.02510473230742109,0.012103177101094792,0.025148077417036587,0.04438614437696951,0.016732748232705166,0.014195304312588586,0.044182559877046855,0.017114344078790165,0.014147328295272741
0.7,0.5,0.022741638851782736,0.012627712511795258,0.022741638851782736,0.0369632441812853,0.017114344078790165,0.014147328295272741,0.0369632441812853,0.017114344078790165,0.014147328295272741
0.7,1.0,0.022741638851782736,0.012627712511795258,0.022741638851782736,0.0369632441812853,0.017114344078790165,0.014147328295272741,0.0369632441812853,0.017114344078790165,0.014147328295272741
0.9,0.01,0.02945718897636784,0.016765269104514906,0.03044062119307123,0.051543127914853076,0.019746436999088606,0.017082002015161833,0.05274001984516191,0.021924886210374504,0.01665695752367728
0.9,0.05,0.027160439471381553,0.011218903864803717,0.027104898187421386,0.05038754298711008,0.01677548696132116,0.014318288465713426,0.050053022188201256,0.017114344078790165,0.014147328295272741
0.9,0.1,0.023885690169240182,0.012493045504270514,0.023968187389136583,0.040591133855990384,0.01689683883029832,0.014169097821431838,0.04064288979334684,0.017114344078790165,0.014147328295272741
0.9,0.5,0.022741638851782736,0.012627712511795258,0.022741638851782736,0.0369632441812853,0.017114344078790165,0.014147328295272741,0.0369632441812853,0.017114344078790165,0.014147328295272741
0.9,1.0,0.022741638851782736,0.012627712511795258,0.022741638851782736,0.0369632441812853,0.017114344078790165,0.014147328295272741,0.0369632441812853,0.017114344078790165,0.014147328295272741
