block,n_features,angle_mse_mean,depth_mse_mean,left_right_mse_mean,total_scaled_mse_mean
baseline_all_features,132,0.006995056818660824,0.010380916050441552,0.01273037633067655,0.010035449733259642
remove_pid_features,126,0.006995056818660824,0.010380916050441552,0.01273037633067655,0.010035449733259642
remove_joint_angle_stats,132,0.006995056818660824,0.010380916050441552,0.01273037633067655,0.010035449733259642
remove_uncategorized_other,132,0.006995056818660824,0.010380916050441552,0.01273037633067655,0.010035449733259642
remove_z_stats,68,0.007490098562714197,0.010195551541967716,0.01246401854118046,0.010049889548620792
remove_physics_features,100,0.0070842819988265904,0.01016386423722788,0.012940244338874519,0.010062796858309664
remove_velocity_stats,102,0.006684252374118012,0.012914142446930326,0.013003974324160086,0.01086745638173614
