target,participant_id,feature,delta_mse_mean,delta_mse_std,baseline_mse_mean
angle,1,acceleration_at_release,0.0,0.0,0.0019217965009923291
angle,1,arm_extension_angle,0.0,0.0,0.0019217965009923291
angle,1,arm_plane_angle,0.0,0.0,0.0019217965009923291
angle,1,azimuth_angle,0.0,0.0,0.0019217965009923291
angle,1,elbow_alignment,0.0,0.0,0.0019217965009923291
angle,1,elbow_height_relative,0.0,0.0,0.0019217965009923291
angle,1,elevation_angle,0.0,0.0,0.0019217965009923291
angle,1,forward_position,0.0,0.0,0.0019217965009923291
angle,1,guide_hand_vx,0.0,0.0,0.0019217965009923291
angle,1,hip_lateral_range,0.0,0.0,0.0019217965009923291
angle,1,hip_vertical_velocity_max,0.0,0.0,0.0019217965009923291
angle,1,jerk_at_release,0.0,0.0,0.0019217965009923291
angle,1,knee_bend_depth,0.0,0.0,0.0019217965009923291
angle,1,knee_extension_rate_max,0.0,0.0,0.0019217965009923291
angle,1,lateral_offset,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_energy,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_max,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_mean,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_min,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_q25,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_q75,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_range,0.0,0.0,0.0019217965009923291
angle,1,left_wrist_z_std,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_energy,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_max,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_mean,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_min,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_q25,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_q75,0.0,0.0,0.0019217965009923291
angle,1,mid_hip_z_range,0.0,0.0,0.0019217965009923291
depth,1,acceleration_at_release,0.00032694170401135396,0.000269430168035297,0.006976055359739115
depth,1,arm_extension_angle,-0.00025889848714318704,0.0005991581333574134,0.006976055359739115
depth,1,arm_plane_angle,2.846088301544994e-05,4.970438898006146e-05,0.006976055359739115
depth,1,azimuth_angle,7.159830187461122e-06,1.4319660374922244e-05,0.006976055359739115
depth,1,elbow_alignment,1.117152219163994e-05,1.5740186643886912e-05,0.006976055359739115
depth,1,elbow_height_relative,0.0,0.0,0.006976055359739115
depth,1,elevation_angle,0.0,0.0,0.006976055359739115
depth,1,forward_position,0.0,0.0,0.006976055359739115
depth,1,guide_hand_vx,8.733534267605352e-05,0.0001795084948164752,0.006976055359739115
depth,1,hip_lateral_range,0.00012023963726499262,0.00017502073766239453,0.006976055359739115
depth,1,hip_vertical_velocity_max,0.0,0.0,0.006976055359739115
depth,1,jerk_at_release,0.0,0.0,0.006976055359739115
depth,1,knee_bend_depth,-2.4774393230170624e-05,4.954878646034125e-05,0.006976055359739115
depth,1,knee_extension_rate_max,-2.0329411300473895e-05,7.195516096748845e-05,0.006976055359739115
depth,1,lateral_offset,0.0,0.0,0.006976055359739115
depth,1,left_wrist_z_energy,-1.0427008446793097e-05,2.0854016893586194e-05,0.006976055359739115
depth,1,left_wrist_z_max,-6.729526859355298e-05,0.00012188341820296484,0.006976055359739115
depth,1,left_wrist_z_mean,-2.4458188770271754e-07,4.891637754054351e-07,0.006976055359739115
depth,1,left_wrist_z_min,0.00019532322976120107,0.00024305231252971096,0.006976055359739115
depth,1,left_wrist_z_q25,0.0,0.0,0.006976055359739115
depth,1,left_wrist_z_q75,0.00014153682565721525,0.00020322869223171253,0.006976055359739115
depth,1,left_wrist_z_range,4.8149436535536996e-05,9.631084174223504e-05,0.006976055359739115
depth,1,left_wrist_z_std,-5.7695848363840086e-06,6.45134356569578e-05,0.006976055359739115
depth,1,mid_hip_z_energy,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_max,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_mean,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_min,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_q25,1.6835803891503133e-05,2.263985368822264e-05,0.006976055359739115
depth,1,mid_hip_z_q75,0.0,0.0,0.006976055359739115
depth,1,mid_hip_z_range,0.0,0.0,0.006976055359739115
left_right,1,acceleration_at_release,2.6403157284554667e-07,5.280631456910933e-07,0.0157593525632394
left_right,1,arm_extension_angle,-0.00020677261954565664,0.00024978313520627896,0.0157593525632394
