Keypoint,Start,End,Window,Test R²,Std
left_elbow_z,160,175,15,-0.0860789656639099,0.14617392548168334
right_elbow_z,100,130,30,-0.08608071565628052,0.1280395112085087
right_knee_z,70,125,55,-0.086104998588562,0.11141035388664156
left_knee_z,140,145,5,-0.08610577583312988,0.10922935481931753
left_hip_z,120,145,25,-0.08611173868179321,0.13267464777233168
right_knee_z,140,145,5,-0.08613651752471924,0.1093489784920572
left_ankle_z,170,215,45,-0.08613707977430078,0.11942751199877502
right_hip_z,120,145,25,-0.08615135908126831,0.12892778301220903
right_knee_z,120,155,35,-0.08623917818069458,0.11256554942791304
right_knee_z,60,65,5,-0.08623956441879273,0.1078724225326245
left_hip_z,150,205,55,-0.08625721454620361,0.11456939019936516
right_wrist_z,170,185,15,-0.08629788637161255,0.16802694773051283
left_elbow_z,130,185,55,-0.08630326271057129,0.13776590492840238
left_hip_z,120,150,30,-0.08641764879226685,0.12192652656851176
left_shoulder_z,150,180,30,-0.08648130655288697,0.11037671394467771
right_wrist_z,90,125,35,-0.08648941278457642,0.11898351434290871
right_elbow_z,140,180,40,-0.08651124477386475,0.1224970662015299
right_elbow_z,130,180,50,-0.08658246517181396,0.12580537849843743
right_hip_z,120,135,15,-0.08658401250839233,0.11974072383526614
right_elbow_z,150,180,30,-0.08658942699432373,0.14087874745865378
right_wrist_z,60,95,35,-0.08670739889144898,0.11247841396411916
left_wrist_z,110,125,15,-0.08671083450317382,0.1226839466006711
left_knee_z,120,150,30,-0.08672067165374756,0.11935125072412955
right_knee_z,160,215,55,-0.08683431773993044,0.14619777538784204
left_knee_z,120,155,35,-0.08686507701873779,0.1127329551898348
left_shoulder_z,120,150,30,-0.08696479082107544,0.12391335644617771
right_ankle_z,170,210,40,-0.08698601007461548,0.12206928266879805
left_elbow_z,100,120,20,-0.08700692653656006,0.1239593005056397
left_shoulder_z,150,185,35,-0.08702485799789429,0.11471839446533758
left_wrist_z,140,145,5,-0.08711249113082886,0.12900338454168322
left_hip_z,140,145,5,-0.08714680194854736,0.11168424161649823
right_wrist_z,130,185,55,-0.08718346834182739,0.1521349251624776
left_elbow_z,100,135,35,-0.08730442762374878,0.12664911758883227
right_knee_z,120,150,30,-0.08738418817520141,0.1203999108179302
left_knee_z,140,150,10,-0.08739281892776489,0.10960553899273423
right_hip_z,130,135,5,-0.08740665435791016,0.11938366414457487
left_wrist_z,130,185,55,-0.08742847442626953,0.15342494049213604
left_hip_z,120,155,35,-0.08747157573699951,0.11785177598723792
left_elbow_z,130,180,50,-0.08749537229537964,0.1332791633943394
right_ankle_z,70,90,20,-0.0875687074661255,0.11481093991191876
right_knee_z,100,120,20,-0.08767707824707031,0.11589445205919305
left_knee_z,90,125,35,-0.08769087553024292,0.11463303550147179
right_wrist_z,60,90,30,-0.0877052903175354,0.11409800316965861
right_elbow_z,100,135,35,-0.08777001142501831,0.12211184261686794
right_ankle_z,90,100,10,-0.08780972480773926,0.11231517409424148
left_shoulder_z,70,120,50,-0.08791493654251098,0.12207325887914193
right_ankle_z,130,155,25,-0.0879180097579956,0.12483804230708716
right_wrist_z,60,80,20,-0.08793990850448609,0.11698640502252118
left_ankle_z,80,105,25,-0.08801592826843262,0.10732876486420002
right_elbow_z,140,145,5,-0.08804389953613281,0.12483472618516568
right_ankle_z,100,155,55,-0.08805083274841309,0.12352248248711847
left_wrist_z,90,125,35,-0.08806145906448365,0.1235607966150157
right_wrist_z,130,135,5,-0.08811410903930664,0.11418320725328758
left_wrist_z,160,215,55,-0.0882308580866447,0.13790466750908237
left_shoulder_z,160,215,55,-0.0882308703206084,0.14466872946739975
right_wrist_z,60,75,15,-0.08828257322311402,0.11141232414699467
right_wrist_z,60,85,25,-0.08838236808776856,0.1158634707958326
right_knee_z,130,155,25,-0.08839728355407715,0.11935368495557554
right_ankle_z,120,155,35,-0.08843057632446288,0.11877424178776014
right_shoulder_z,140,185,45,-0.08843538522720337,0.10847990791256584
right_knee_z,100,115,15,-0.08847033500671386,0.11548338493315555
right_elbow_z,160,165,5,-0.08850293159484864,0.13021765054507287
right_shoulder_z,120,150,30,-0.0886229944229126,0.12005295555376674
right_elbow_z,160,170,10,-0.08871047019958496,0.12509673567297852
right_shoulder_z,130,180,50,-0.08871551513671876,0.120880928126541
left_knee_z,160,215,55,-0.08874385416079517,0.14102685877360863
right_elbow_z,100,150,50,-0.08897695779800414,0.1256160204481919
left_knee_z,120,140,20,-0.08898662567138672,0.1197887152597395
left_knee_z,120,145,25,-0.08898762226104737,0.130844236818967
left_shoulder_z,100,125,25,-0.08904613494873047,0.12389224535202571
left_ankle_z,110,120,10,-0.08905612468719483,0.11342323939412592
right_shoulder_z,120,145,25,-0.08905871152877808,0.12401902674283913
left_elbow_z,160,180,20,-0.0890824556350708,0.15384578799577212
right_elbow_z,150,185,35,-0.08913584709167481,0.15217306997560195
right_wrist_z,100,135,35,-0.08924511909484863,0.11494023335865541
right_shoulder_z,170,215,45,-0.0892668374532407,0.11386166769908677
right_knee_z,90,120,30,-0.08932461738586425,0.1197865434430158
right_shoulder_z,160,215,55,-0.08934051081515589,0.14325711995409496
left_knee_z,100,125,25,-0.08936867713928223,0.11614739053067748
right_ankle_z,60,90,30,-0.08944994688034058,0.10855489329626546
right_ankle_z,120,150,30,-0.08954562902450562,0.11664808300274321
left_hip_z,150,200,50,-0.08959339618682861,0.11041935186570256
left_shoulder_z,150,200,50,-0.08962369441986084,0.11762663545197144
right_wrist_z,140,190,50,-0.08964035034179688,0.16024937765342476
right_hip_z,170,215,45,-0.08970321395487826,0.1259672071864149
right_shoulder_z,140,145,5,-0.08974456310272216,0.11710291593205649
left_shoulder_z,120,145,25,-0.08980829000473023,0.1401096392606262
right_ankle_z,130,135,5,-0.08982005596160889,0.1129524384645069
right_elbow_z,170,215,45,-0.08988352133036219,0.111085012035548
left_hip_z,70,125,55,-0.08991012573242188,0.11487459951170681
right_ankle_z,150,155,5,-0.08994513988494873,0.10910415596204642
right_knee_z,120,160,40,-0.08998533010482788,0.10859133475199197
right_shoulder_z,120,140,20,-0.09000428676605225,0.11868586970305076
right_knee_z,70,115,45,-0.09003075838088989,0.11529928759641307
right_ankle_z,60,70,10,-0.0900609016418457,0.1147799167706997
right_hip_z,140,145,5,-0.09010875225067139,0.11010187129774507
right_ankle_z,120,145,25,-0.09013746500015259,0.12561718102975916
left_shoulder_z,150,175,25,-0.0901760983467102,0.10877686350449309
left_hip_z,140,150,10,-0.09019761323928834,0.11503431520053274
right_knee_z,140,150,10,-0.09020906448364258,0.10822893556749229
right_knee_z,120,145,25,-0.09028232574462891,0.1313216540612594
right_shoulder_z,150,190,40,-0.09029577970504761,0.11535648472408865
left_wrist_z,100,115,15,-0.09037516355514526,0.1160885965492266
right_ankle_z,160,210,50,-0.09038589715957641,0.12997914136298958
right_hip_z,170,190,20,-0.09054991245269775,0.11201256382975378
left_elbow_z,100,130,30,-0.09062454700469971,0.12918494911143813
right_ankle_z,60,105,45,-0.0906366777420044,0.1172316018960192
