feature,importance_mean,importance_std,target,player_id,rank
depth_f102_left_second_finger_mcp_vel_mag,1.2928350755944849,0.11971036700843343,angle,5,3
shoulder_rotation,1.1835782775655388,0.16111218724144785,angle,5,4
phase_load_right_knee_z_mean,1.0893809685483575,0.11679998340124037,angle,5,5
right_elbow_vel_max_time,1.073217243887484,0.15882521602339394,angle,5,6
right_wrist_z_range,0.9539996216073632,0.09088184456797674,angle,5,7
phase_setup_right_wrist_z_mean,0.830717564560473,0.10581293168166249,angle,5,8
right_wrist_z_min,0.707540119625628,0.0632662765349444,angle,5,9
angle_f153_left_big_toe_vz,0.6790515134111047,0.08284091765632667,angle,5,10
right_wrist_vel_mean,0.6541491398587823,0.042604895636933954,angle,5,11
depth_f102_left_second_finger_pip_y,0.6318442175164819,0.05387973095223803,angle,5,12
depth_f102_left_third_finger_pip_y,0.5627745339646936,0.05438669932494291,angle,5,13
right_knee_z_q75,0.5511251280084253,0.07668131025600128,angle,5,14
lr_elbow_deviation_f237,0.5303300866857171,0.051953969877861716,angle,5,15
phase_load_right_wrist_z_range,0.47629463765770197,0.04984605792575466,angle,5,16
mid_hip_z_q75,0.4738186487928033,0.06458690127451346,angle,5,17
knee_bend_depth,0.47198949549347163,0.05974680892599605,angle,5,18
right_wrist_vel_min,0.46376586649566887,0.061353441237445155,angle,5,19
phase_load_right_knee_vel_max,0.4305931100621819,0.055363573695986844,angle,5,20
lr_f237_right_ankle_x,0.665671008452773,0.12413304002650893,depth,1,1
angle_window_right_knee_z_std,0.5784171130508184,0.06982018505305686,depth,1,2
depth_f102_right_shoulder_x,0.52187923155725,0.06375647090224171,depth,1,3
lr_elbow_deviation_f153,0.49927460215985775,0.060634628809187324,depth,1,4
angle_f153_right_heel_x,0.4984850432723761,0.05162740620327852,depth,1,5
lr_f237_right_ankle_z,0.4426385696977377,0.0526866447685298,depth,1,6
angle_f153_left_small_toe_vz,0.4166574563831091,0.046559197188384895,depth,1,7
right_knee_vel_max_time,0.3630130644887686,0.04554811128651585,depth,1,8
right_elbow_vel_max_time,0.33781201504170894,0.04904648616337467,depth,1,9
angle_f153_left_big_toe_z,0.337253662571311,0.025271726435184983,depth,1,10
angle_f153_left_heel_vz,0.33366458378732206,0.038257822557437315,depth,1,11
phase_setup_mid_hip_z_range,0.3291051235049963,0.036008507446521454,depth,1,12
right_wrist_z_range,0.2904234003275633,0.03729445095250526,depth,1,13
right_hip_z_q25,0.28607811145484446,0.03131966360974587,depth,1,14
phase_setup_right_knee_z_range,0.2821472819894552,0.04120905031359982,depth,1,15
depth_f102_left_second_finger_pip_vel_mag,0.26981103532016276,0.02985676326416717,depth,1,16
right_elbow_vel_min,0.26824857406318187,0.028336999991315226,depth,1,17
angle_f153_left_big_toe_x,0.24512787871062755,0.03690582903718941,depth,1,18
angle_f153_left_big_toe_vz,0.23321349881589412,0.019911702089370605,depth,1,19
depth_f102_right_shoulder_y,0.2325327482074499,0.03101277103751039,depth,1,20
phase_load_mid_hip_vel_max,1.8384577509015798,0.11581743051515976,depth,2,1
right_elbow_vel_max_time,1.6309157606214284,0.14730128698445732,depth,2,2
phase_propulsion_right_knee_vel_max,1.2339974280446768,0.14949626410188896,depth,2,3
phase_setup_mid_hip_z_range,0.9030174549669028,0.09047638751888328,depth,2,4
depth_f102_right_wrist_vel_mag,0.873500096425414,0.10728716694181017,depth,2,5
knee_bend_depth,0.7825167831033468,0.06670047429821281,depth,2,6
right_knee_vel_max_time,0.7585437413305044,0.0842111928274259,depth,2,7
right_wrist_vel_min,0.6839294489473104,0.056676628161874014,depth,2,8
lr_f237_left_hip_z,0.574987256154418,0.04711246410633586,depth,2,9
lr_f237_mid_hip_z,0.5577614184468984,0.04600952982281886,depth,2,10
guide_hand_vx,0.5460923191159963,0.07556908189650381,depth,2,11
lr_f237_right_hip_z,0.5314575251191854,0.04287738593345224,depth,2,12
phase_setup_right_knee_z_mean,0.48916575871407986,0.05440602178181495,depth,2,13
angle_f153_left_big_toe_y,0.48481954298913477,0.0741529967288968,depth,2,14
left_wrist_z_q25,0.47282192669808865,0.06848328884123474,depth,2,15
wrist_snap_angle,0.4671393182128668,0.05026092803897962,depth,2,16
mid_hip_z_q25,0.4544207599014044,0.06806371449760049,depth,2,17
knee_extension_rate_max,0.4368956442922354,0.06347885250387907,depth,2,18
lr_f237_right_ankle_z,0.4315936919301748,0.04062634756821407,depth,2,19
