player,feature_type,config,r2,mse
1,right_wrist_xyz,right_wrist_xyz_f100,-0.01704124931651485,1.702712332462501
1,right_wrist_xyz,right_wrist_xyz_f110,0.10813369909308279,1.4931466648795841
1,right_wrist_xyz,right_wrist_xyz_f120,-0.013524687755442244,1.6968249677740719
1,right_wrist_xyz,right_wrist_xyz_f130,0.09850356258481774,1.5092692677798498
1,right_wrist_xyz,right_wrist_xyz_f140,0.08553546241115206,1.530980229954834
1,right_wrist_xyz,right_wrist_xyz_f150,-0.052104381807575706,1.7614144039344475
1,right_wrist_xyz,right_wrist_xyz_f160,-0.045872848891955975,1.7509816825942834
1,right_wrist_xyz,right_wrist_xyz_f170,-0.032800411866615864,1.7290960415218641
1,left_wrist_xyz,left_wrist_xyz_f100,0.011637572990232603,1.6546987593109537
1,left_wrist_xyz,left_wrist_xyz_f110,0.10395957742519979,1.5001349049788717
1,left_wrist_xyz,left_wrist_xyz_f120,-0.06377497766206353,1.7809531075042158
1,left_wrist_xyz,left_wrist_xyz_f130,0.0911684299724358,1.5215496160624233
1,left_wrist_xyz,left_wrist_xyz_f140,0.027288378110515987,1.6284964603292922
1,left_wrist_xyz,left_wrist_xyz_f150,0.07304910678347709,1.5518846639972512
1,left_wrist_xyz,left_wrist_xyz_f160,0.04397554575858287,1.60055910167513
1,left_wrist_xyz,left_wrist_xyz_f170,-0.011571137016807898,1.693554367946386
1,right_elbow_xyz,right_elbow_xyz_f100,0.020158151952464176,1.640433757878158
1,right_elbow_xyz,right_elbow_xyz_f110,0.08208232846952501,1.5367614052532839
1,right_elbow_xyz,right_elbow_xyz_f120,-0.12202369959123938,1.8784720795671872
1,right_elbow_xyz,right_elbow_xyz_f130,-0.15971842558547023,1.941579917978171
1,right_elbow_xyz,right_elbow_xyz_f140,-0.0691402542215871,1.789935557892646
1,right_elbow_xyz,right_elbow_xyz_f150,0.05353394363486286,1.5845566023139066
1,right_elbow_xyz,right_elbow_xyz_f160,-0.04058036796245301,1.7421211053521672
1,right_elbow_xyz,right_elbow_xyz_f170,-0.032548436791058455,1.7286741893414208
1,arm_vector,arm_vector_f120,-0.03412238014346469,1.7313092572489819
1,arm_vector,arm_vector_f130,-0.08872331205014583,1.8227211642723498
1,arm_vector,arm_vector_f135,0.12302132588621051,1.4682220654508065
1,arm_vector,arm_vector_f140,0.03459686822866248,1.6162607164357075
1,arm_vector,arm_vector_f150,-0.08762398100089985,1.8208806838235303
1,arm_vector,arm_vector_f160,-0.14082547260417466,1.9099496728337337
1,arm_vector,arm_vector_f170,-0.04388124806475968,1.7476473799865093
1,full_arm_xyz,full_arm_xyz_f110,-0.13253124237321234,1.8960636204125227
1,full_arm_xyz,full_arm_xyz_f120,0.10086754814269516,1.5053115252931353
1,full_arm_xyz,full_arm_xyz_f130,-0.19189545994323964,1.9954501353954714
1,full_arm_xyz,full_arm_xyz_f140,0.05151247807590775,1.5879409039232997
1,full_arm_xyz,full_arm_xyz_f150,-0.11104078222679137,1.8600846750686677
1,full_arm_xyz,full_arm_xyz_f160,0.043596295095256754,1.6011940363761303
1,full_arm_xyz,full_arm_xyz_f170,0.10730056032429891,1.4945414909569081
1,both_wrists_xyz,both_wrists_xyz_f100,-0.10784250589170652,1.8547301778326593
1,both_wrists_xyz,both_wrists_xyz_f110,0.0951055412052334,1.5149581746092216
1,both_wrists_xyz,both_wrists_xyz_f120,0.11173802580915371,1.487112365332931
1,both_wrists_xyz,both_wrists_xyz_f130,-0.008340887315464007,1.688146341470461
1,both_wrists_xyz,both_wrists_xyz_f140,0.04980405434016533,1.5908011164917428
1,both_wrists_xyz,both_wrists_xyz_f150,0.04727037533849665,1.5950429567175368
1,both_wrists_xyz,both_wrists_xyz_f160,0.019351324555303084,1.6417845339260697
1,y_axis_key,y_axis_key_f100,-0.025740650224320927,1.7172767144093606
1,y_axis_key,y_axis_key_f110,0.08380648431862114,1.5338748542610638
1,y_axis_key,y_axis_key_f120,0.08155636982868375,1.5376419558354038
1,y_axis_key,y_axis_key_f130,0.0007620441543743084,1.6729063758489378
1,y_axis_key,y_axis_key_f140,-0.11442031876967151,1.8657426349138924
1,y_axis_key,y_axis_key_f150,0.052323715884003086,1.5865827440440106
1,y_axis_key,y_axis_key_f160,0.003882946819195987,1.6676814162326212
1,y_axis_key,y_axis_key_f170,0.005553540474023344,1.664884538111385
1,y_axis_key,y_axis_key_f180,0.1173748714518098,1.4776752588258075
1,temporal_change,temporal_change_prep80_rel150,-0.16319600173203508,1.9474020139804842
1,temporal_change,temporal_change_prep80_rel160,-0.0985239294079705,1.839129183172398
1,temporal_change,temporal_change_prep80_rel170,0.062201526782758476,1.5700454890935882
1,temporal_change,temporal_change_prep100_rel150,-0.3788146936245653,2.3083869848866017
1,temporal_change,temporal_change_prep100_rel160,-0.40057752918984635,2.3448219363020533
1,temporal_change,temporal_change_prep100_rel170,-0.473090604536643,2.4662220346173855
1,temporal_change,temporal_change_prep120_rel150,0.09422943035992926,1.5164249437711468
1,temporal_change,temporal_change_prep120_rel160,-0.15620075964726365,1.935690704361228
1,temporal_change,temporal_change_prep120_rel170,-0.1992441292456819,2.007753146563274
2,right_wrist_xyz,right_wrist_xyz_f100,0.08905722198176436,3.8412828125907583
2,right_wrist_xyz,right_wrist_xyz_f110,0.146154015730517,3.600515842618982
2,right_wrist_xyz,right_wrist_xyz_f120,0.03849112896949736,4.054510985287242
2,right_wrist_xyz,right_wrist_xyz_f130,0.02323109059660844,4.1188598385146395
2,right_wrist_xyz,right_wrist_xyz_f140,-0.012711735550676284,4.270424309573807
2,right_wrist_xyz,right_wrist_xyz_f150,-0.08675432680626782,4.582648677616486
2,right_wrist_xyz,right_wrist_xyz_f160,-0.08165449434149274,4.561143595994729
2,right_wrist_xyz,right_wrist_xyz_f170,-0.05752238908322349,4.459382823093179
2,left_wrist_xyz,left_wrist_xyz_f100,0.010459560140306579,4.172715098818696
2,left_wrist_xyz,left_wrist_xyz_f110,0.09934615944627856,3.7978962030297914
2,left_wrist_xyz,left_wrist_xyz_f120,0.021729222605487597,4.12519294728973
2,left_wrist_xyz,left_wrist_xyz_f130,-0.02310188303689653,4.314237703699319
2,left_wrist_xyz,left_wrist_xyz_f140,-0.055027581271405834,4.44886266463811
2,left_wrist_xyz,left_wrist_xyz_f150,-0.1123229274929598,4.6904668948852555
2,left_wrist_xyz,left_wrist_xyz_f160,-0.10201861971849069,4.647015471475518
2,left_wrist_xyz,left_wrist_xyz_f170,-0.14282902890566906,4.819105669859379
2,right_elbow_xyz,right_elbow_xyz_f100,0.0042612779467103845,4.198852146537154
2,right_elbow_xyz,right_elbow_xyz_f110,0.02247361353149324,4.1220539838565555
2,right_elbow_xyz,right_elbow_xyz_f120,0.06066790693503288,3.9609954779543015
2,right_elbow_xyz,right_elbow_xyz_f130,0.041541506497719816,4.041648088677462
2,right_elbow_xyz,right_elbow_xyz_f140,-0.012923036465010584,4.271315327747619
2,right_elbow_xyz,right_elbow_xyz_f150,-0.09550291771204211,4.619539921162923
2,right_elbow_xyz,right_elbow_xyz_f160,-0.07889270035806839,4.549497604592806
2,right_elbow_xyz,right_elbow_xyz_f170,-0.04796398962704207,4.41907676168855
2,arm_vector,arm_vector_f120,0.04198654728803708,4.039771431240793
2,arm_vector,arm_vector_f130,0.008860068256220321,4.179459870094654
2,arm_vector,arm_vector_f135,-0.014608485665033921,4.278422565655174
2,arm_vector,arm_vector_f140,-0.06936283527577136,4.509311867540721
2,arm_vector,arm_vector_f150,-0.028412826019565074,4.336633000627141
2,arm_vector,arm_vector_f160,-0.12140324815062509,4.728756983480046
