test_player,mse_contrastive,mse_baseline,improvement_pct,contr_angle,contr_depth,contr_left_right,base_angle,base_depth,base_left_right,embedding_dim
1,0.05346424687432652,0.049268549896483625,-8.515974159292943,0.02813902366099737,0.11453717784835314,0.017716539113629054,0.08316293654366531,0.03640672728512786,0.028235985860657703,16
2,0.09189396786565258,0.024056924845424658,-281.98551334431977,0.19588189403928333,0.06628164228737254,0.013518367270301885,0.008514688305465992,0.046098554049842706,0.01755753218096528,16
3,0.008461309807680778,0.01168209050626702,27.570242644999276,0.012910795631735835,0.0035069727250068147,0.00896616106629969,0.007284974081299057,0.017142563149369825,0.010618734288132179,16
4,0.026945969614972545,0.03735115448852859,27.857732956425004,0.05320431238549892,0.012415868769088317,0.0152177276903304,0.07926012830331623,0.016767603328320873,0.016025731833948665,16
5,0.037291198620380266,0.05310528404820358,29.77874181685743,0.05079503272650552,0.04083911630227826,0.02023944683235702,0.09577058992352548,0.04420294356435297,0.019342318656732308,16
1,0.06875054769183929,0.049268549896483625,-39.542462354359095,0.10900280940652765,0.07561667879624567,0.021632154872744565,0.08316293654366531,0.03640672728512786,0.028235985860657703,32
2,0.11606868693911042,0.024056924845424658,-382.4751612473251,0.118423167953705,0.21635484484580492,0.013428048017821343,0.008514688305465992,0.046098554049842706,0.01755753218096528,32
3,0.005752632108321783,0.01168209050626702,50.75682639818873,0.004689139273853724,0.0029883518207102265,0.009580405230401398,0.007284974081299057,0.017142563149369825,0.010618734288132179,32
4,0.03586679405744032,0.03735115448852859,3.9740684094360588,0.0799818050937355,0.01210829954183077,0.015510277536754689,0.07926012830331623,0.016767603328320873,0.016025731833948665,32
5,0.04135458310481898,0.05310528404820358,22.127178404165036,0.06395234664554844,0.04077973577266141,0.019331666896247074,0.09577058992352548,0.04420294356435297,0.019342318656732308,32
1,0.04958492943829967,0.049268549896483625,-0.6421531432948111,0.043188786890797214,0.08372418696707874,0.021841814457023042,0.08316293654366531,0.03640672728512786,0.028235985860657703,64
2,0.03880351871006569,0.024056924845424658,-61.29874852830851,0.06266462043019957,0.03901684813656702,0.014729087563430476,0.008514688305465992,0.046098554049842706,0.01755753218096528,64
3,0.012816705719582622,0.01168209050626702,-9.71243299910167,0.02610709082541862,0.00277483724172145,0.0095681890916078,0.007284974081299057,0.017142563149369825,0.010618734288132179,64
4,0.030052157595267692,0.03735115448852859,19.54155632726852,0.06209503490695243,0.013265240385143333,0.014796197493707301,0.07926012830331623,0.016767603328320873,0.016025731833948665,64
5,0.042338526118081095,0.05310528404820358,20.274362755219457,0.06679518586370949,0.041664058181033525,0.018556334309500284,0.09577058992352548,0.04420294356435297,0.019342318656732308,64
