feature,importance_mean,importance_std
hip_vertical_velocity_max,1.6304393593221902,0.11984230179240976
depth_f102_right_shoulder_vel_mag,1.5017841521650552,0.14650094102159975
phase_propulsion_right_wrist_z_range,1.402011663094163,0.16659836553594196
phase_propulsion_mid_hip_vel_max,1.2648976866155863,0.1543913977679279
phase_load_mid_hip_vel_max,1.2038568500429392,0.1660917869937863
depth_f102_left_thumb_y,1.0299040857702493,0.08717583971663811
depth_f102_left_first_finger_mcp_y,1.0299040023237467,0.0871758493806014
lr_elbow_deviation_f153,0.9841688279062509,0.05330689236327892
knee_bend_depth,0.9006384972482919,0.10686076747578406
phase_load_right_wrist_vel_max,0.8828524295240641,0.11145028038600503
angle_f153_right_small_toe_z,0.8604199770838022,0.12645021674050763
lr_f237_right_elbow_z,0.7480018083006144,0.08082760798050348
depth_f102_left_third_finger_pip_y,0.6690294269472361,0.06571649870464094
right_wrist_vel_min,0.6616830710321665,0.08514694155333638
phase_load_right_elbow_vel_max,0.6143046263605356,0.07911121791096053
angle_f153_right_hip_vz,0.6056822571903467,0.07276835781997357
angle_f153_mid_hip_vz,0.6038633052259683,0.07237405814681022
angle_f153_left_hip_vz,0.5912126693874598,0.07041487452466555
set_position_stability,0.5542411062866449,0.04810819475354177
depth_f102_left_second_finger_mcp_vel_mag,0.44984541870653627,0.050819603332417224
depth_f102_left_first_finger_cmc_y,0.4428646001964808,0.03706572679489722
phase_setup_right_wrist_z_range,0.4266880456358194,0.04098408415968527
angle_f153_right_knee_vz,0.415980664268136,0.051063539403873856
right_elbow_vel_std,0.3929041389375925,0.053136431719658365
phase_load_right_elbow_z_range,0.38819001652300356,0.03432166812012563
depth_f102_left_wrist_y,0.3765221778303385,0.03766872076796008
depth_window_right_wrist_y_std,0.3730878744274378,0.04677759179496322
depth_f102_right_elbow_y,0.36717766262590884,0.042271845014868206
right_shoulder_z_q75,0.3567945811897516,0.03471157517309911
phase_setup_right_elbow_z_range,0.3546265158802271,0.04626534348109302
angle_f153_right_ankle_vz,0.3534950438886881,0.041269062026591335
depth_f102_right_wrist_y,0.35298455096781256,0.03782847712821852
phase_propulsion_right_knee_z_range,0.35002054609358313,0.05147754706850439
right_elbow_z_range,0.3215014014393091,0.03622900511825512
phase_setup_right_wrist_vel_max,0.31293514706194403,0.04836418918476487
depth_window_right_wrist_y_mean,0.3099705133587122,0.034032912301432
right_knee_z_range,0.30406436063349246,0.04644221518827481
lr_elbow_deviation_mean,0.2999224904924631,0.03336450997558252
angle_f153_left_knee_vz,0.29384832717478276,0.03790808262583736
right_knee_z_min,0.2885450694710016,0.0257663855736442
right_elbow_z_min,0.2762448642402887,0.03757840435127849
angle_f153_right_heel_vz,0.27489131726324556,0.03210953677501342
angle_f153_right_big_toe_vz,0.26232855059206484,0.03602321761671285
neck_z_max,0.24418795444071292,0.04223912601064965
phase_setup_right_knee_z_mean,0.24413112588226796,0.026598453333338132
lr_f237_left_ankle_z,0.23645882196724416,0.028872888397732038
phase_setup_right_knee_z_range,0.2343892280012369,0.017308523878215073
angle_f153_left_ankle_vz,0.23279583342373372,0.0305585870946373
depth_f102_right_elbow_vel_mag,0.22297260649502276,0.022143630174470793
left_wrist_z_q25,0.22046964950859546,0.014586963861924129
trajectory_straightness,0.2188152302056551,0.024642410020986345
wrist_snap_angle,0.20192518569529055,0.018326123553130035
phase_load_right_knee_vel_mean,0.19820563234388827,0.01437095613250754
right_knee_vel_load_mean,0.19770941622555255,0.014343866242053539
elbow_height_relative,0.1914055559784174,0.015284646915096617
angle_f153_left_heel_y,0.18913175202906132,0.022275811144296765
arm_extension_angle,0.18877861090004444,0.022141462712684346
lr_f237_right_wrist_z,0.1848896075040102,0.01783624117579748
angle_f153_right_small_toe_x,0.18295607008039952,0.027989428045809693
phase_load_right_knee_z_range,0.18202253021299838,0.01928959302492359
right_knee_z_std,0.17991938777267932,0.024494850088661542
lr_f237_right_hip_z,0.17351236529648303,0.023894405933107415
phase_propulsion_right_elbow_z_range,0.17099205143749713,0.01461596231251707
depth_window_left_wrist_y_mean,0.17035956718027592,0.01714583900063904
wrist_jerk_mean,0.16412985809147357,0.017043041849803965
angle_f153_left_heel_vz,0.16051943488419057,0.022082104583352732
left_wrist_z_mean,0.1603352028876543,0.011511925849220658
neck_z_q75,0.15961190946400167,0.012302449016135126
angle_f153_right_heel_y,0.15913792587816716,0.017451722158852708
depth_window_left_wrist_y_std,0.1466836530715227,0.019701802920632533
mid_hip_z_std,0.14271865896880626,0.020551737445444626
right_knee_vel_prep_mean,0.14114720113575457,0.022463901848169147
angle_f153_right_ankle_y,0.13837194480001927,0.015706768841432843
mid_hip_z_q75,0.13820567689836025,0.02382172681192351
left_wrist_z_energy,0.13819744475185872,0.010366681007711936
lr_f237_right_wrist_y,0.1328044179826975,0.013324301081982666
arm_plane_angle,0.12847739569842814,0.010915423163064333
azimuth_angle,0.1284773763269186,0.010915406780631827
depth_f102_left_second_finger_pip_z,0.12826573438942432,0.013355369097546472
depth_f102_left_second_finger_pip_y,0.1280175019055605,0.015280363932987158
phase_setup_mid_hip_z_range,0.12098957784473896,0.017498477114917085
right_hip_z_std,0.1209679652005434,0.017956932480064733
right_knee_vel_max_time,0.12050994895398617,0.014812118509984205
lr_f237_left_ankle_x,0.12003779076039792,0.018337290602880103
phase_setup_right_knee_vel_mean,0.1192540716379881,0.01961210305547015
right_elbow_vel_range,0.11866570450365543,0.009300687855068865
depth_f102_right_shoulder_y,0.11758980937302113,0.012304535303621019
depth_f102_left_third_finger_pip_z,0.11686817370355129,0.012662397102366498
phase_propulsion_right_wrist_z_mean,0.11667470224201679,0.012193297824665513
phase_load_right_wrist_z_range,0.11570797599852085,0.012295112017310551
right_elbow_vel_max,0.11528211422264575,0.009141687090655328
right_elbow_vel_min,0.11363627277314663,0.011511391033328388
depth_f102_left_first_finger_mcp_x,0.113176703825593,0.01027757746020487
depth_f102_left_thumb_x,0.11317669190466403,0.01027756612927924
angle_f153_right_small_toe_y,0.11252126805484294,0.012101647598703016
right_elbow_z_q75,0.10950511433184147,0.011011752457608399
angle_window_right_knee_z_mean,0.0998370323330164,0.018240380791878102
depth_f102_left_wrist_z,0.09689377136528492,0.009972328321911523
angle_f153_left_heel_z,0.09652191586792469,0.012796226607109247
angle_window_left_knee_z_mean,0.09604951478540898,0.01680525455481088
angle_f153_left_ankle_y,0.09454627819359303,0.011491536588924666
phase_propulsion_right_elbow_z_mean,0.08736020140349865,0.007716891646325865
lr_f237_right_ankle_x,0.08516644276678562,0.0120475537430709
angle_f153_right_big_toe_y,0.08412337936460972,0.008698278891291778
angle_f153_left_knee_angle,0.08399594984948636,0.012849669621829879
phase_load_right_wrist_vel_mean,0.08104870580136776,0.010063584373891245
right_wrist_vel_load_mean,0.08054274134337902,0.01001378716058751
angle_f153_left_small_toe_x,0.08036244101822376,0.005152720258147318
right_elbow_vel_load_mean,0.08015303201973438,0.006754760124399986
neck_z_min,0.07969571463763714,0.010935817196470504
right_hip_z_mean,0.07968489043414592,0.00804648085180946
phase_load_right_elbow_vel_mean,0.07831272669136524,0.0066321005708872265
angle_f153_left_hip_y,0.07724464349448681,0.00909744539424978
phase_load_mid_hip_z_range,0.07645336799323559,0.012208796017428025
depth_f102_left_third_finger_mcp_vel_mag,0.07481281124055386,0.010442794255337385
depth_f102_right_shoulder_z,0.07451238296926022,0.013489258647972261
right_knee_vel_mean,0.07412504591047764,0.008723510596004251
angle_f153_right_hip_z,0.07304577119648456,0.012723835188922367
lr_f237_mid_hip_z,0.07169789709150791,0.01065614237624648
phase_propulsion_mid_hip_vel_mean,0.07046525739133358,0.00690127484222214
angle_window_right_ankle_z_std,0.0681162167340517,0.00914229114111903
lr_f237_right_second_finger_dip_z,0.06595972292125225,0.008186671311242892
angle_f153_mid_hip_y,0.06552149094641209,0.007984477809072394
right_wrist_z_mean,0.06492991633713245,0.004946394570946788
depth_f102_left_second_finger_mcp_z,0.06461295150220395,0.007174529882967768
lr_f237_right_first_finger_mcp_z,0.06330597065389157,0.008072388623645163
phase_follow_mid_hip_vel_max,0.06271831206977367,0.006938256726345334
depth_f102_left_third_finger_mcp_z,0.06225580982863903,0.007129107636862916
angle_f153_right_hip_y,0.06126266308128834,0.007568778012782493
phase_follow_right_elbow_z_range,0.061239664629101756,0.008139634661636247
angle_window_left_ankle_z_std,0.0569258127361536,0.008377287113188015
right_shoulder_z_std,0.05572583451867104,0.008666898800275612
phase_follow_right_knee_z_range,0.05543241910636425,0.009859405877305813
phase_follow_right_wrist_z_mean,0.05509688407182693,0.005894330061213834
right_shoulder_z_max,0.05442246720194817,0.010432252115180497
right_knee_z_q25,0.05439445227384567,0.010597100746651041
right_knee_vel_min,0.0534794021397829,0.007192743028997134
right_knee_z_max,0.053264183551073076,0.010890956274565754
guide_hand_vx,0.05279608853161335,0.008720686518081335
phase_load_right_knee_z_mean,0.052512874081730845,0.007372504429400366
lr_f237_right_third_finger_dip_z,0.05209999792277813,0.007247000322686304
release_azimuth_angle,0.05176202207803726,0.005807233088885247
left_wrist_z_std,0.051254991069436075,0.010775431908123842
angle_f153_left_big_toe_x,0.05036376975476742,0.004214124047522261
phase_propulsion_right_knee_z_mean,0.05002571865916252,0.009482288124289664
lr_hip_x_follow,0.04971349090337753,0.006212341570484745
lr_f237_right_wrist_x,0.04955995380878449,0.005867769635684737
depth_f102_right_wrist_vel_mag,0.04836416393518448,0.005107262259695984
angle_f153_left_heel_x,0.048063524439930914,0.0077460527379097045
lr_hip_x_std,0.04793801791965961,0.00576897711588068
wrist_vy_release,0.046049199625849725,0.0073152070432018
lr_hip_x_release,0.04510036259889603,0.0065482808968360525
right_knee_vel_range,0.04508215598762035,0.00531112549355336
depth_f102_left_first_finger_cmc_z,0.044851059839129445,0.005137335775440338
right_knee_vel_max,0.044623217359185216,0.005288132948818265
