kernel,alpha,lopo_mse,lopo_angle,lopo_depth,lopo_lr
rbf,0.001,0.027476080629388347,0.051160269462737024,0.017311464383466462,0.013956508041961548
rbf,0.01,0.027514735353762438,0.051207178058182076,0.017378620479010332,0.013958407524094907
rbf,0.1,0.02286577306680593,0.03726061353911797,0.017377543988118138,0.013959161673181687
matern,0.01,0.027722643953112,0.049854381718783175,0.019220022628623476,0.014093527511929351
matern,0.1,0.02420090547973287,0.03853224073929507,0.01937446106708524,0.01469601463281829
