phase,config,scaled_mse,raw_mse,r2
model_search,Ridge_1,0.0029692305522734793,2.6723074970461314,-0.5961868490329427
model_search,Ridge_10,0.00249990783782079,2.2499170540387112,-0.3438902585279602
model_search,Ridge_100,0.0019003349064538875,1.7103014158084988,-0.021574287694640315
model_search,Ridge_1000,0.0017644196785681525,1.5879777107113373,0.051490466124632706
model_search,Lasso_0.01,0.002543765705661379,2.289389135095241,-0.36746719222890545
model_search,Lasso_0.1,0.0021053498240422444,1.89481484163802,-0.13178537085204112
model_search,Lasso_1,0.0019120320825858803,1.7208288743272924,-0.027862407927814248
model_search,ElasticNet_0.5,0.0018839939915242935,1.695594592371864,-0.012789805300097656
model_search,ElasticNet_0.1,0.0020458328982638214,1.8412496084374392,-0.0997905046569425
model_search,BayesianRidge,0.0018182640159096096,1.6364376143186485,0.022545046883435615
model_search,LGB_conservative,0.0020750665184373685,1.8675598665936317,-0.11550579494819724
model_search,LGB_standard,0.002074641441390973,1.8671772972518759,-0.11527728376345192
model_search,LGB_aggressive,0.0020627512386091097,1.8564761147481987,-0.10888539705118117
model_search,XGB_standard,0.0023647032574852576,2.128232931736732,-0.2712075317200495
model_search,CatBoost,0.0019050563061183588,1.714550675506523,-0.024112398468048246
model_search,RandomForest,0.0018744629282056691,1.6870166353851022,-0.007666135157730292
model_search,ExtraTrees,0.0018874022544508868,1.698662029005798,-0.014622005382139092
model_search,GradientBoosting,0.0020035520077442484,1.8031968069698234,-0.07706131599186228
model_search,KNN_5,0.002254573485805719,2.0291161372251474,-0.21200441827125305
model_search,KNN_10,0.001994382012600129,1.7949438113401162,-0.07213174740597683
model_search,SVR_rbf,0.0018454508063602095,1.6609057257241886,0.007930082965785124
feature_selection,SelectKBest_f_reg_k20,0.0014099370486877715,1.2689433438189943,0.24205179238891994
feature_selection,SelectKBest_f_reg_k50,0.0015056428082803788,1.355078527452341,0.19060268052340323
feature_selection,SelectKBest_f_reg_k100,0.0015968925135601904,1.4372032622041713,0.14154903615946368
feature_selection,SelectKBest_f_reg_k150,0.0016120647287288668,1.4508582558559802,0.13339281861536068
feature_selection,SelectKBest_f_reg_k200,0.0016460292016417953,1.4814262814776158,0.11513433580524624
feature_selection,SelectKBest_f_reg_k250,0.0017215308710334025,1.5493777839300622,0.07454645633908596
feature_selection,SelectKBest_mi_k20,0.001990150575149557,1.791135517634601,-0.06985702852099918
feature_selection,SelectKBest_mi_k50,0.002162516145178603,1.9462645306607425,-0.16251660859159034
feature_selection,SelectKBest_mi_k100,0.0019667264408998316,1.7700537968098484,-0.05726477797623608
feature_selection,SelectKBest_mi_k150,0.0019342510251356992,1.7408259226221292,-0.039806776434424096
correlation_selection,top10_corr,0.001492870610439226,1.3435835493953034,0.19746870654205828
correlation_selection,top20_corr,0.0014249195623600075,1.2824276061240067,0.2339975538014959
correlation_selection,top30_corr,0.0014345025961940538,1.2910523365746485,0.22884594556143167
correlation_selection,top50_corr,0.001506235460783558,1.3556119147052024,0.19028408480812709
correlation_selection,top100_corr,0.0015829060580380473,1.4246154522342425,0.14906781786940382
optuna_lgb,optimized_lgb,0.0016865709718855554,1.5179138746969998,0.0
optuna_ridge,optimized_ridge,0.001273079564730454,1.1457716082574085,0.0
frame_specific,release_tight,0.0017418325125096118,1.5676492612586506,0.06363278272310657
frame_specific,release_wide,0.0016158635759377844,1.454277218344006,0.13135064982799016
frame_specific,full_shot,0.001768707731129816,1.5918369580168343,0.04918531231916334
frame_specific,all_phases,0.0020077352796562037,1.8069617516905834,-0.07931014224305377
ensemble,simple_avg,0.001890651913209526,1.7015867218885734,-0.01636894368250541
ensemble,weighted,0.0018474490101028438,1.6627041090925594,0.0
