target,player,n_samples,mean_mse,baseline_mse,baseline_r2,baseline_model,physics_mse,physics_r2,physics_model,improvement_pct
angle,1,70,1.6741822,1.792354284368886,-0.0705849754174408,rf,1.1983909147201173,0.28419324283989045,ridge,33.1387256877014
angle,2,66,4.216821,4.342588989940299,-0.029825261842564288,ridge,3.349033387744743,0.2057919380712252,ridge,22.879337752137005
angle,3,68,2.6515865,3.0520594563649532,-0.1510314367830905,rf,2.2399990346373886,0.1552231062031102,ridge,26.606965995830905
angle,4,67,7.2055006,5.2614190060019395,0.26980520909064576,ridge,5.959381447355228,0.17293998350318207,ridge,-13.265669215036688
angle,5,74,16.578758,16.236379620487362,0.020651644369715783,rf,11.784759873875323,0.2891651049218865,ridge,27.41756383297976
depth,1,70,20.394249,16.98036480906067,0.1673944531929228,rf,8.80534973311169,0.5682434911261149,ridge,48.14393075693413
depth,2,66,17.890652,10.008584939724852,0.44056901302744556,rf,8.642122969043905,0.51694755939761,ridge,13.652898775503743
depth,3,68,5.3158536,3.813192273493805,0.28267545280890205,rf,3.000160686494603,0.43562014407197946,rf,21.32154711029739
depth,4,67,23.211456,28.512947796219958,-0.22839977936496347,rf,12.371747416967613,0.46699822459686746,rf,56.61007235945008
depth,5,74,65.690636,70.4492210115956,-0.07243932534829423,ridge,18.40892616798873,0.7197633121204438,ridge,73.86922679392195
left_right,1,70,16.77364,10.619736978663617,0.3668793904051968,ridge,7.955983962214238,0.5256852946354778,rf,25.083041338982248
left_right,2,66,13.808633,4.129036035060806,0.7009815468540501,ridge,3.4678820675743354,0.7488613025574176,ridge,16.012308002943698
left_right,3,68,8.022179,5.375142301683388,0.3299647718829073,ridge,2.6293321399779463,0.6722421358679224,ridge,51.08348779613719
left_right,4,67,15.241936,13.70110331572978,0.10109164882646193,rf,9.201159593091557,0.3963260470260921,ridge,32.84365951369762
left_right,5,74,17.10431,20.40738888213857,-0.19311389803972467,rf,9.417554422142405,0.4494045695165836,ridge,53.852232264829055
