Group,N Features,Train R²,Test R²,Gap
Velocity,90,0.841405029296875,-1.2664944195747376,2.1078994488716125
Acceleration,144,0.8893635988235473,-1.1125167560577394,2.001880354881287
Trajectory,48,0.7030064034264152,-11.58054328868927,12.283549692115685
Force Proxy,12,0.27384023941353597,-0.32569671840048103,0.5995369578140171
Coordination,3,0.10152343377101503,-0.5449889795518942,0.6465124133229092
Velocity + Acceleration,234,0.9685154366493225,-2.3472191977500914,3.315734634399414
Velocity + Trajectory,138,0.956398550994508,-5.109528046215212,6.06592659720972
Force + Coordination,15,0.34716231997029473,-0.5917384258355107,0.9389007458058054
All Multi-Frame,297,0.9965649715788507,-1.5531025747342175,2.549667546313068
