model,hidden_dim,dropout,lopo_mse,within_mse,lopo_angle,lopo_depth,lopo_lr
LSTM,16,0.3,0.0712832088876805,0.016984456951666723,0.14449420295106738,0.039867327576967634,0.029488096135006487
LSTM,32,0.5,0.07553130999750769,0.01636315176429545,0.09512389237386629,0.09641731246339788,0.0350527251552589
LSTM,64,0.5,0.11710606903867833,0.015972242121711548,0.13436602275805132,0.13937907413186584,0.07757311022611785
GRU,16,0.3,0.0502842542536285,0.01729165157732213,0.07481271542426593,0.042494130490420626,0.033545916846198946
GRU,32,0.5,0.03947901062644579,0.018215506244082025,0.06201062974373966,0.027768032437576983,0.02865836969802074
GRU,64,0.5,0.061360383909519305,0.017282599970583342,0.09902675944675932,0.05366254382689842,0.031391848454900166
