model,angle,depth,left_right,total
Ridge_100,0.007407668886535605,0.007330142970063509,0.011520639065872331,0.008752816974157149
Ridge_1000,0.007052586652555366,0.00844036237002031,0.012202341852392506,0.009231763624989394
Lasso_1,0.007562261907741447,0.007055929156833949,0.010225023153681666,0.008281071406085687
ElasticNet,0.007253519074011434,0.007106766580239446,0.008972591816805707,0.0077776258236855285
LightGBM,0.007323189790301754,0.009764800757987583,0.00987006040378938,0.008986016984026238
XGBoost,0.007957300046599076,0.00968695401102684,0.011773045769502962,0.00980576660904296
CatBoost,0.0071770769262928386,0.007922875615600624,0.010322454431955931,0.008474135657949798
RandomForest,0.0073818775519312475,0.008209691591361555,0.009799640642119889,0.008463736595137564
GradientBoosting,0.007996702506570082,0.009239723096830256,0.010608985190036743,0.00928180359781236
