test,player,feature,frame,r2
wrist_velocity,4,velocity_components,170,0.11088956462312449
wrist_velocity,5,velocity_components,160,-0.049014726677321985
full_kinetic_chain,1,all_arm_joints_xyz,170,0.10730056032429891
full_kinetic_chain,2,all_arm_joints_xyz,120,0.12476037891042435
full_kinetic_chain,3,all_arm_joints_xyz,120,-0.05744342475655473
full_kinetic_chain,4,all_arm_joints_xyz,170,0.15198455620825213
full_kinetic_chain,5,all_arm_joints_xyz,145,-0.06298052729185555
temporal_change,1,prep_to_release,"prep=120, release=150",0.09422943035992926
temporal_change,2,prep_to_release,"prep=100, release=170",0.011524491976273143
temporal_change,3,prep_to_release,"prep=100, release=150",-0.03541759423671764
temporal_change,4,prep_to_release,"prep=100, release=170",0.22548907456131395
temporal_change,5,prep_to_release,"prep=80, release=170",-0.0842841651498134
