trial_id,timestamp,model_type,n_features,feature_indices,best_params,cv_score_angle,cv_score_depth,cv_score_left_right,cv_score_combined,optuna_trials,duration_seconds
10,2026-01-28T19:38:09.521674,lightgbm,50,"elbow_alignment,guide_hand_vx,hip_lateral_range,knee_bend_depth,knee_extension_rate_max,lateral_offset,left_wrist_z_max,mid_hip_z_q75,mid_hip_z_std,neck_z_energy,neck_z_max,neck_z_q75,peak_velocity_magnitude,release_frame,release_height_relative,right_elbow_vel_min,right_elbow_vel_release_mean,right_elbow_vel_std,right_elbow_z_mean,right_elbow_z_min,right_elbow_z_q25,right_elbow_z_std,right_hip_z_min,right_hip_z_q75,right_knee_vel_load_mean,right_knee_vel_max,right_knee_vel_mean,right_knee_vel_prep_mean,right_knee_vel_release_mean,right_knee_vel_std,right_knee_z_min,right_knee_z_range,right_knee_z_std,right_shoulder_z_min,right_shoulder_z_std,right_wrist_vel_max,right_wrist_vel_mean,right_wrist_vel_min,right_wrist_vel_prop_mean,right_wrist_vel_release_mean,right_wrist_z_energy,right_wrist_z_max,right_wrist_z_mean,right_wrist_z_q25,right_wrist_z_std,set_point_height,shoulder_elevation_rate,time_to_peak_velocity,velocity_magnitude_release,wrist_x_release","{""n_estimators"": 677, ""num_leaves"": 6, ""learning_rate"": 0.009401322029226014, ""subsample"": 0.8092108846748052, ""colsample_bytree"": 0.5491422326684496, ""reg_alpha"": 0.12608300452257912, ""reg_lambda"": 0.0001859735143331994, ""min_child_samples"": 49}",0.03146617247486247,0.02560110742104471,0.016511898668249272,0.024526392854718818,3,33.6
11,2026-01-28T19:38:09.578167,ridge,30,"arm_plane_angle,elbow_height_relative,guide_hand_vx,left_wrist_z_max,left_wrist_z_q25,mid_hip_z_min,mid_hip_z_q25,mid_hip_z_range,mid_hip_z_std,neck_z_energy,release_height_relative,right_elbow_vel_release_mean,right_elbow_z_range,right_hip_z_energy,right_hip_z_mean,right_hip_z_min,right_knee_vel_mean,right_knee_vel_prop_mean,right_knee_z_q25,right_knee_z_q75,right_knee_z_range,right_shoulder_z_min,right_shoulder_z_q25,right_wrist_vel_max,right_wrist_vel_range,right_wrist_z_mean,time_to_peak_velocity,velocity_magnitude_release,wrist_vz_release,wrist_z_release","{""alpha"": 12.021936875648016}",0.05621190401709365,0.03580959548786341,0.01914192201467122,0.03705447383987609,3,0.0
11,2026-01-28T22:02:11.403932,ridge,10,"left_wrist_z_q25,mid_hip_z_q25,neck_z_energy,right_hip_z_energy,right_hip_z_min,right_knee_z_range,right_shoulder_z_min,right_wrist_vel_range,velocity_magnitude_release,wrist_vz_release","{""alpha"": 0.3274223376210077}",0.021318555245142177,0.02454069747554771,0.023250951580544733,0.023036734767078206,5,0.1
12,2026-01-28T22:03:01.444741,xgboost,20,"azimuth_angle,left_wrist_z_energy,left_wrist_z_max,mid_hip_z_min,neck_z_energy,neck_z_min,right_elbow_z_q75,right_hip_z_energy,right_hip_z_mean,right_hip_z_range,right_knee_vel_min,right_knee_vel_range,right_knee_vel_release_mean,right_knee_z_q25,right_knee_z_std,right_wrist_vel_mean,right_wrist_z_range,right_wrist_z_std,shoulder_rotation,wrist_z_release","{""n_estimators"": 394, ""max_depth"": 5, ""learning_rate"": 0.008699616746718085, ""subsample"": 0.7591413640837381, ""colsample_bytree"": 0.5043027260043846, ""reg_alpha"": 6.99328187654944, ""reg_lambda"": 1.0160294120095275, ""min_child_weight"": 16}",0.02153733512862535,0.022934910513619563,0.015941485348518778,0.020137910330254565,5,50.0
13,2026-01-28T22:03:01.569494,ridge,75,"acceleration_at_release,arm_extension_angle,arm_plane_angle,azimuth_angle,elbow_alignment,elbow_height_relative,elevation_angle,guide_hand_vx,hip_lateral_range,hip_vertical_velocity_max,jerk_at_release,knee_bend_depth,knee_extension_rate_max,lateral_offset,left_wrist_z_max,left_wrist_z_mean,left_wrist_z_min,left_wrist_z_q25,left_wrist_z_range,left_wrist_z_std,mid_hip_z_energy,mid_hip_z_max,mid_hip_z_mean,mid_hip_z_std,neck_z_min,neck_z_std,peak_velocity_magnitude,release_frame,release_time,right_elbow_vel_load_mean,right_elbow_vel_mean,right_elbow_vel_min,right_elbow_vel_prep_mean,right_elbow_vel_range,right_elbow_z_range,right_elbow_z_std,right_hip_z_energy,right_hip_z_max,right_hip_z_mean,right_hip_z_range,right_hip_z_std,right_knee_vel_load_mean,right_knee_vel_max,right_knee_vel_prep_mean,right_knee_vel_prop_mean,right_knee_vel_range,right_knee_vel_release_mean,right_knee_z_energy,right_knee_z_max,right_knee_z_mean,right_knee_z_min,right_knee_z_range,right_shoulder_z_max,right_shoulder_z_min,right_shoulder_z_q25,right_shoulder_z_q75,right_shoulder_z_std,right_wrist_vel_max,right_wrist_vel_max_time,right_wrist_vel_mean,right_wrist_vel_min,right_wrist_vel_prep_mean,right_wrist_vel_release_mean,right_wrist_z_energy,right_wrist_z_min,right_wrist_z_q25,right_wrist_z_q75,right_wrist_z_range,set_position_stability,shoulder_elevation_rate,time_to_peak_velocity,wrist_snap_angle,wrist_vx_release,wrist_x_release,wrist_y_release","{""alpha"": 67.59826042441831}",0.07215748902172607,0.03691384282135415,0.017742018588061504,0.04227111681038057,5,0.1
14,2026-01-28T22:03:58.532483,lightgbm,10,"acceleration_at_release,left_wrist_z_mean,mid_hip_z_energy,mid_hip_z_q25,neck_z_energy,neck_z_std,release_time,right_shoulder_z_max,shoulder_rotation,wrist_vx_release","{""n_estimators"": 329, ""num_leaves"": 30, ""learning_rate"": 0.04668423546987781, ""subsample"": 0.8647839439099498, ""colsample_bytree"": 0.9950955598410327, ""reg_alpha"": 6.567781451237314, ""reg_lambda"": 0.056360738454911706, ""min_child_samples"": 50}",0.02642005765545946,0.02653128455245264,0.01812738382488494,0.023692908677599014,5,57.0
15,2026-01-28T22:05:46.744968,catboost,30,"elevation_angle,knee_bend_depth,left_wrist_z_max,left_wrist_z_mean,left_wrist_z_range,left_wrist_z_std,mid_hip_z_max,mid_hip_z_q75,mid_hip_z_range,neck_z_energy,peak_velocity_magnitude,release_height_relative,right_elbow_vel_mean,right_elbow_vel_prop_mean,right_elbow_vel_range,right_elbow_z_min,right_elbow_z_q25,right_knee_vel_release_mean,right_knee_z_min,right_knee_z_q75,right_shoulder_z_energy,right_shoulder_z_mean,right_shoulder_z_std,right_wrist_vel_max_time,right_wrist_vel_prep_mean,right_wrist_vel_prop_mean,right_wrist_vel_release_mean,right_wrist_z_std,shoulder_elevation_rate,velocity_magnitude_release","{""iterations"": 465, ""depth"": 6, ""learning_rate"": 0.0061999630753664485, ""l2_leaf_reg"": 16.817634619808764}",0.023962663081912042,0.01815700342074245,0.014871849700601444,0.018997172067751977,5,108.2
16,2026-01-28T22:05:46.862552,ridge,20,"elbow_alignment,knee_extension_rate_max,mid_hip_z_mean,neck_z_range,peak_velocity_magnitude,right_elbow_vel_prep_mean,right_elbow_z_energy,right_elbow_z_q25,right_elbow_z_range,right_knee_vel_load_mean,right_knee_z_max,right_knee_z_q25,right_shoulder_z_min,right_shoulder_z_q25,right_shoulder_z_q75,right_wrist_vel_max,right_wrist_vel_range,right_wrist_z_min,right_wrist_z_std,set_point_height","{""alpha"": 0.26950665510004856}",0.08450947322170381,0.05408317347188626,0.031855192656445847,0.05681594645001197,5,0.1
17,2026-01-28T22:05:46.962725,ridge,50,"elbow_height_relative,elevation_angle,forward_position,guide_hand_vx,knee_bend_depth,left_wrist_z_q75,left_wrist_z_range,left_wrist_z_std,mid_hip_z_energy,mid_hip_z_mean,mid_hip_z_q25,neck_z_max,neck_z_q75,neck_z_range,neck_z_std,right_elbow_vel_load_mean,right_elbow_vel_mean,right_elbow_vel_min,right_elbow_vel_prep_mean,right_elbow_z_energy,right_elbow_z_max,right_elbow_z_mean,right_elbow_z_q25,right_elbow_z_range,right_hip_z_min,right_hip_z_q75,right_hip_z_std,right_knee_vel_load_mean,right_knee_vel_max,right_knee_vel_max_time,right_knee_vel_min,right_knee_vel_prep_mean,right_knee_vel_prop_mean,right_knee_vel_range,right_knee_vel_release_mean,right_knee_z_min,right_shoulder_z_q75,right_shoulder_z_std,right_wrist_vel_max_time,right_wrist_vel_mean,right_wrist_vel_min,right_wrist_vel_prep_mean,right_wrist_vel_prop_mean,right_wrist_vel_release_mean,right_wrist_z_max,right_wrist_z_mean,right_wrist_z_q75,velocity_magnitude_release,wrist_snap_angle,wrist_z_release","{""alpha"": 35.01149804712211}",0.08579079480683414,0.04466619228977248,0.020581213986297576,0.05034606702763474,5,0.1
18,2026-01-28T22:07:33.827983,xgboost,100,"acceleration_at_release,arm_extension_angle,arm_plane_angle,elbow_height_relative,elevation_angle,forward_position,guide_hand_vx,hip_lateral_range,hip_vertical_velocity_max,jerk_at_release,knee_bend_depth,knee_extension_rate_max,left_wrist_z_energy,left_wrist_z_max,left_wrist_z_min,left_wrist_z_q25,left_wrist_z_q75,left_wrist_z_range,left_wrist_z_std,mid_hip_z_energy,mid_hip_z_max,mid_hip_z_mean,mid_hip_z_min,mid_hip_z_q25,mid_hip_z_q75,mid_hip_z_range,mid_hip_z_std,neck_z_energy,neck_z_mean,neck_z_min,neck_z_q25,neck_z_q75,neck_z_range,neck_z_std,peak_velocity_magnitude,release_frame,release_height_relative,release_time,right_elbow_vel_load_mean,right_elbow_vel_max,right_elbow_vel_max_time,right_elbow_vel_min,right_elbow_vel_prop_mean,right_elbow_vel_release_mean,right_elbow_vel_std,right_elbow_z_energy,right_elbow_z_mean,right_elbow_z_min,right_elbow_z_q25,right_elbow_z_q75,right_elbow_z_range,right_hip_z_energy,right_hip_z_max,right_hip_z_mean,right_hip_z_min,right_hip_z_q25,right_hip_z_q75,right_hip_z_range,right_hip_z_std,right_knee_vel_load_mean,right_knee_vel_max,right_knee_vel_max_time,right_knee_vel_mean,right_knee_vel_min,right_knee_vel_prep_mean,right_knee_vel_prop_mean,right_knee_vel_range,right_knee_vel_release_mean,right_knee_vel_std,right_knee_z_max,right_knee_z_mean,right_knee_z_q25,right_knee_z_q75,right_knee_z_std,right_shoulder_z_energy,right_shoulder_z_max,right_shoulder_z_mean,right_shoulder_z_q25,right_wrist_vel_load_mean,right_wrist_vel_max,right_wrist_vel_max_time,right_wrist_vel_min,right_wrist_vel_prep_mean,right_wrist_vel_prop_mean,right_wrist_vel_range,right_wrist_vel_release_mean,right_wrist_vel_std,right_wrist_z_max,right_wrist_z_q25,right_wrist_z_range,set_point_height,set_position_stability,shoulder_elevation_rate,shoulder_rotation,velocity_magnitude_release,wrist_vx_release,wrist_vy_release,wrist_vz_release,wrist_x_release,wrist_y_release","{""n_estimators"": 784, ""max_depth"": 3, ""learning_rate"": 0.005298032192642767, ""subsample"": 0.5970085956775897, ""colsample_bytree"": 0.5057927724398176, ""reg_alpha"": 0.01715392213856472, ""reg_lambda"": 0.18183880064032287, ""min_child_weight"": 15}",0.022545321637252806,0.02447037572792213,0.017843237417751966,0.021619644927642304,5,55.6
