target,participant_id,feature,delta_mse_mean,delta_mse_std,baseline_mse_mean
angle,1,right_knee_vel_std,0.0,0.0,0.0019217965009923291
angle,1,right_knee_z_energy,0.0,0.0,0.0019217965009923291
angle,1,right_knee_z_max,0.0,0.0,0.0019217965009923291
angle,1,right_knee_z_mean,0.0,0.0,0.0019217965009923291
angle,1,right_knee_z_min,0.0,0.0,0.0019217965009923291
angle,1,right_knee_z_q25,0.0,0.0,0.0019217965009923291
angle,1,right_knee_z_q75,0.0,0.0,0.0019217965009923291
angle,1,right_knee_z_range,0.0,0.0,0.0019217965009923291
angle,1,right_knee_z_std,0.0,0.0,0.0019217965009923291
angle,1,right_shoulder_z_energy,0.0,0.0,0.0019217965009923291
angle,1,right_shoulder_z_max,0.0,0.0,0.0019217965009923291
angle,1,right_shoulder_z_mean,0.0,0.0,0.0019217965009923291
angle,1,right_shoulder_z_min,0.0,0.0,0.0019217965009923291
angle,1,right_shoulder_z_q25,0.0,0.0,0.0019217965009923291
angle,1,right_shoulder_z_q75,0.0,0.0,0.0019217965009923291
angle,1,right_shoulder_z_range,-1.8937137219994314e-06,3.7874274439988632e-06,0.0019217965009923291
angle,1,right_shoulder_z_std,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_vel_load_mean,-4.486806956607743e-07,8.973613913215487e-07,0.0019217965009923291
angle,1,right_wrist_vel_max,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_vel_max_time,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_vel_mean,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_vel_min,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_vel_prep_mean,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_vel_prop_mean,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_vel_range,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_vel_release_mean,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_vel_std,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_z_energy,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_z_max,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_z_mean,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_z_min,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_z_q25,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_z_q75,0.0,0.0,0.0019217965009923291
angle,1,right_wrist_z_range,-7.5873917312771485e-06,1.411126701394505e-05,0.0019217965009923291
angle,1,right_wrist_z_std,0.0,0.0,0.0019217965009923291
angle,1,set_point_height,0.0,0.0,0.0019217965009923291
angle,1,set_position_stability,0.0,0.0,0.0019217965009923291
angle,1,shoulder_elevation_rate,0.0,0.0,0.0019217965009923291
angle,1,shoulder_rotation,0.0,0.0,0.0019217965009923291
angle,1,time_to_peak_velocity,0.0,0.0,0.0019217965009923291
angle,1,velocity_magnitude_release,0.0,0.0,0.0019217965009923291
angle,1,wrist_snap_angle,0.0,0.0,0.0019217965009923291
angle,1,wrist_vx_release,0.0,0.0,0.0019217965009923291
angle,1,wrist_vy_release,0.0,0.0,0.0019217965009923291
angle,1,wrist_vz_release,0.0,0.0,0.0019217965009923291
angle,1,wrist_x_release,0.0,0.0,0.0019217965009923291
angle,1,wrist_y_release,0.0,0.0,0.0019217965009923291
angle,1,wrist_z_release,0.0,0.0,0.0019217965009923291
depth,1,acceleration_at_release,0.00016339020057450762,0.00012050644252130946,0.006976055359739115
depth,1,arm_extension_angle,-0.00016499516793763296,0.00041518041506790335,0.006976055359739115
depth,1,arm_plane_angle,7.743115752294077e-06,3.27944428291968e-05,0.006976055359739115
depth,1,azimuth_angle,3.851004636449875e-06,7.70200927289975e-06,0.006976055359739115
depth,1,elbow_alignment,1.0486379174642785e-05,9.494552596465645e-06,0.006976055359739115
depth,1,elbow_height_relative,0.0,0.0,0.006976055359739115
depth,1,elevation_angle,0.0,0.0,0.006976055359739115
depth,1,forward_position,0.0,0.0,0.006976055359739115
depth,1,guide_hand_vx,7.272931346605064e-05,0.0001507822910043609,0.006976055359739115
