target,physics_mse,sub9_mse,diff,winner,physics_n_feats,sub9_n_feats
angle,5.753065123268173,6.278405998060271,-0.5253408747920982,physics,510,368
depth,12.063079369113963,14.224813270572628,-2.161733901458666,physics,510,368
left_right,8.028548982847683,12.684941833061394,-4.656392850213711,physics,510,368
overall,8.614897825076605,11.06272036723143,-2.4478225421548245,physics,510,368
