target,player,feature_type,frame,r2,mse
angle,1,arm_vector,135,0.12302132588621051,1.4682220654508065
angle,2,right_wrist_xyz_temporal,110,0.16795883384206722,3.508568823481531
angle,3,both_wrists_xyz,120,0.06562425049687348,2.477578153763769
angle,4,left_wrist_temporal,130,0.24302553545991568,5.454379960488868
angle,5,both_wrists_xyz,150,0.23593491967119185,12.667250246203489
depth,1,body_extension,150,0.3637249656907967,12.976351458262984
depth,2,leg_drive,95,0.46453081863329104,9.579892621458532
depth,3,hip_thrust,120,-0.0790604318633108,5.736127276734478
depth,4,leg_drive,125,0.5026112086995436,11.545118192797489
depth,5,hip_thrust,150,0.6818614745137362,20.898721973857153
left_right,1,hip_rotation,165,0.03350123225289525,16.211702080344025
left_right,2,hip_rotation,155,0.3555888571908883,8.898436875916858
left_right,3,shoulder_alignment,170,0.5503815350151284,3.6069196504035013
left_right,4,elbow_alignment,155,0.046582318993244276,14.53193101773199
left_right,5,shoulder_alignment,172,0.14408504889649243,14.639833871606058
