test,config,angle,depth,left_right,total
advanced_only,ridge,0.008956921895345053,0.00901795244541298,0.010145509615540504,0.00937346131876618
advanced_only,lgb,0.008317382600572375,0.009159673098263557,0.010670119896531105,0.009382391865122346
all_combined,ridge_a10,0.011435052023993598,0.009393273567666813,0.012271192856132984,0.01103317281593113
all_combined,ridge_a100,0.009474635654025608,0.007977930596626265,0.010706926696002483,0.009386497648884785
all_combined,ridge_a1000,0.0076452753278944225,0.008412769321952007,0.011377829127013683,0.00914529125895337
all_combined,lgb,0.007528752750820584,0.00922936809306242,0.009671657346189022,0.008809926063357343
optuna,"{'k_features': 279, 'model': 'ridge', 'alpha': 228.51214089570848}",0.0,0.0,0.0,0.008960198131294882
