alpha,lopo_mse,angle,depth,left_right
10,0.03442031985249582,0.07348959786660864,0.015558154341500562,0.014213207349378273
50,0.03247988224500846,0.06765481038399278,0.015586465904930182,0.014198370446102424
100,0.030769679592962743,0.0624670736768532,0.01565594004244201,0.01418602505959302
200,0.028637703220508518,0.055923098842003104,0.015818117013045703,0.014171893806476748
500,0.025965952148348976,0.04754958210436642,0.01619121399512632,0.014157060345554194
