representation,n,nn1_dist_median,nn1_dist_p01,nn1_dist_p05,nn1_abs_dangle_median,nn1_abs_dangle_p90,nn1_abs_dangle_p95,pct_nn1_abs_dangle_le_0p1,pct_nn1_abs_dangle_gt_0p5,pct_nn1_abs_dangle_gt_1
raw,345.0,97.05021667480469,41.242042999267575,47.243255615234375,1.9300003051757812,5.6399993896484375,7.487998962402345,5.507246376811594,82.02898550724638,69.85507246376812
root,345.0,103.85137176513672,47.046931457519534,54.75910186767578,1.8999977111816406,5.734001159667972,8.153999328613285,4.9275362318840585,83.76811594202898,71.30434782608695
root_heading,345.0,112.51483917236328,49.100152587890626,58.03096313476563,1.8600006103515625,5.294001007080085,8.234001159667974,4.057971014492753,84.05797101449275,70.43478260869566
