player,feature_idx,feature_name,feature_type,target,beta,se_beta,p_value,ci_lower,ci_upper,r_squared,pearson_r,std_X,std_Y,beta_standardized,n_samples
1,0,nose_x,raw_mean,angle,-3.6917898677164898,1.9567240600347275,0.0634680755511216,-7.526969025384556,0.14338928995157607,0.049744629089084974,-0.22303504004771307,0.07873393,1.3032442,-0.2230350278686409,70
1,0,nose_x,raw_mean,depth,-11.509593284625847,6.8654268876108855,0.09824075533417373,-24.96582998434318,1.9466434150914882,0.039690552996152026,-0.19922488046464484,0.07873393,4.548606,-0.19922487509545667,70
1,0,nose_x,raw_mean,left_right,17.01949547629293,6.009061895392207,0.006074906103025257,5.2417341613242066,28.797256791261656,0.10552151000717556,0.32484074560802184,0.07873393,4.1251345,0.32484074075128766,70
1,0,nose_x,raw_std,angle,3.145764684604368,1.949129271691058,0.11117323062887473,-0.6745286879101053,6.9660580571188415,0.03689241360331909,0.19207397950612437,0.07957344,1.3032442,0.192073982074697,70
1,0,nose_x,raw_std,depth,-2.9820258161360425,6.922516592465409,0.6679966110129634,-16.550158337368245,10.586106705096158,0.002721462454186762,-0.05216763799700694,0.07957344,4.548606,-0.05216764441887527,70
1,0,nose_x,raw_std,left_right,5.539557986436338,6.25060108006101,0.37860956283549274,-6.711620130483241,17.79073610335592,0.011418530418145547,0.10685752391921473,0.07957344,4.1251345,0.10685752780154009,70
1,1,nose_y,raw_mean,angle,-2.6482638100395346,1.8797714914580892,0.16344411940882111,-6.332615933297389,1.03608831321832,0.02836016622895189,-0.1684047690208086,0.08287413,1.3032442,-0.16840476644075905,70
1,1,nose_y,raw_mean,depth,-3.1149466032923976,6.645143805587672,0.6407438463325886,-16.139428462244236,9.90953525565944,0.003220938546807515,-0.05675331309102152,0.08287413,4.548606,-0.056753317460450085,70
1,1,nose_y,raw_mean,left_right,-0.705355713817647,6.035609068567047,0.9073109536688589,-12.53514948820906,11.124438060573764,0.00020080662735678543,-0.01417062551042774,0.08287413,4.1251345,-0.014170625691320951,70
1,1,nose_y,raw_std,angle,0.7076214992226982,1.3059288706755845,0.5896909277649572,-1.8519990873014471,3.267242085746844,0.004299153543016474,0.06556793075137017,0.12075809,1.3032442,0.06556792512531981,70
1,1,nose_y,raw_std,depth,-10.43317147283552,4.389088398855685,0.020270502406827845,-19.03578473459266,-1.8305582110783778,0.0767199927958329,-0.27698374103155027,0.12075809,4.548606,-0.27698372346856975,70
1,1,nose_y,raw_std,left_right,2.9344980219409624,4.1272333503936505,0.47951075214398586,-5.154879344830592,11.023875388712517,0.007379449133222694,0.08590372013610757,0.12075809,4.1251345,0.08590371304079314,70
1,2,nose_z,raw_mean,angle,-0.12757193893963803,5.110397045324229,0.9801574175367767,-10.143950147775126,9.888806269895849,9.164064416800333e-06,-0.003027220576172198,0.030925358,1.3032442,-0.003027220628496333,70
1,2,nose_z,raw_mean,depth,-11.573111599504346,17.781180277172712,0.5173282986770695,-46.42422494276286,23.278001743754174,0.006191174547790702,-0.07868401710506844,0.030925358,4.548606,-0.07868402117215788,70
1,2,nose_z,raw_mean,left_right,12.362449780797403,16.106297724238214,0.44540939284785913,-19.205893758709493,43.9307933203043,0.00858938926899352,0.09267895807028433,0.030925358,4.1251345,0.09267896081760796,70
1,2,nose_z,raw_std,angle,2.7142953083150196,7.3200713811812435,0.7119378509506822,-11.633044598800216,17.061635215430258,0.0020178896066624934,0.04492092615544,0.021568375,1.3032442,0.044920927101540456,70
1,2,nose_z,raw_std,depth,18.65457272008218,25.47421121589483,0.4665066548051801,-31.274881263071684,68.58402670323605,0.007824359006449556,0.08845540688080947,0.021568375,4.548606,0.08845541064233255,70
1,2,nose_z,raw_std,left_right,-26.257035330797642,22.973890125780184,0.25708493082438133,-71.2858599773268,18.771789315731517,0.018847335973375897,-0.13728560002191015,0.021568375,4.1251345,-0.13728560305916648,70
1,3,left_eye_x,raw_mean,angle,-3.5714360515678054,1.895256801186595,0.06378487546652446,-7.286139381893531,0.14326727875792056,0.04962882269037848,-0.22277527396544367,0.0812924,1.3032442,-0.2227752877888116,70
1,3,left_eye_x,raw_mean,depth,-12.242265049027356,6.620975862869217,0.06880330618655683,-25.21937774025102,0.7348476421963088,0.04787036265542397,-0.21879296756391411,0.0812924,4.548606,-0.21879298703932895,70
1,3,left_eye_x,raw_mean,left_right,17.206505883070573,5.789101338545029,0.004085611830006697,5.859867259522316,28.55314450661883,0.11497647105194432,0.3390818058403375,0.0812924,4.1251345,0.3390818149071485,70
1,3,left_eye_x,raw_std,angle,2.866701278530476,1.905718303452211,0.1371444250153647,-0.8685065962358576,6.601909153296809,0.03220490151871233,0.17945724147749606,0.08158388,1.3032442,0.17945723493438195,70
1,3,left_eye_x,raw_std,depth,-3.0707402633127456,6.750871085922989,0.6506546899280455,-16.302447591721805,10.160967065096312,0.003033459546244269,-0.05507685127387248,0.08158388,4.548606,-0.05507685640362004,70
1,3,left_eye_x,raw_std,left_right,5.535533111471379,6.094821518552468,0.36696148153477215,-6.4103170648914585,17.481383287834216,0.01198536832133459,0.10947770696052503,0.08158388,4.1251345,0.10947771250600397,70
1,4,left_eye_y,raw_mean,angle,-2.7062092943222202,1.8646451662016548,0.1512868847578283,-6.360913820077464,0.9484952314330228,0.030045055578203233,-0.17333509621021137,0.08347394,1.3032442,-0.1733350950322648,70
1,4,left_eye_y,raw_mean,depth,-3.644019724334588,6.593251999245644,0.5822885153500746,-16.56679364285605,9.278754194186874,0.004472049817185811,-0.06687338646416682,0.08347394,4.548606,-0.06687338719560082,70
