feature_idx,feature_name,feature_type,target,beta,intercept,se_beta,t_stat,p_value,ci_lower,ci_upper,r_squared,pearson_r,std_X,std_Y,beta_standardized,n_samples
0,nose_x,raw_mean,angle,5.986458000098979,-69.74077208389822,0.6080794429144145,9.844861670387953,2.6438581403955027e-20,4.794622291986727,7.178293708211232,0.2203150904961073,0.4693773433987918,0.38190097,4.870781,0.4693772954359175,345
0,nose_x,raw_mean,depth,-0.8495742573900205,26.011006380016806,0.7622117408647353,-1.114617122567768,0.26579490922531,-2.3435092694849016,0.6443607547048606,0.0036090017772116845,-0.06007496797511992,0.38190097,5.400806,-0.06007496840394354,345
0,nose_x,raw_mean,left_right,-0.2170170111807238,3.394734603030762,0.5372637703263109,-0.4039301050374512,0.6865158391595644,-1.2700540010202932,0.8360199786588455,0.00047545759276475816,-0.021804990088618664,0.38190097,3.8009193,-0.021804989188018153,345
0,nose_x,raw_std,angle,-3.0868788247161048,46.67534475452898,0.5679005022935025,-5.435597982832463,1.0384972047142995e-07,-4.199963809211369,-1.97379384022084,0.07930764846863546,-0.281616136733383,0.44436163,4.870781,-0.28161613168635863,345
0,nose_x,raw_std,depth,1.1901483130535688,9.199463857356474,0.6531046344884817,1.822293473672416,0.06928108544945948,-0.08993677054385518,2.470233396650993,0.009588664469537518,0.09792172623854993,0.44436163,5.400806,0.09792172628653661,345
0,nose_x,raw_std,left_right,0.6291628136410471,-1.025118735897683,0.4606032833282292,1.3659538184244795,0.17284840188658987,-0.27361962168228215,1.5319452489643763,0.005410306480541017,0.0735547855719872,0.44436163,3.8009193,0.0735547889918864,345
1,nose_y,raw_mean,angle,3.2381704089523033,127.63793250190272,0.9583121449395654,3.3790351359436377,0.000811110033746303,1.3598786048707552,5.116462213033851,0.03221586478616177,0.1794877845040207,0.26998135,4.870781,0.17948777687724576,345
1,nose_y,raw_mean,depth,0.9341457968984261,33.35845353740321,1.0789558889350366,0.865786828246016,0.38721224375481617,-1.1806077454142454,3.048899339211098,0.0021806188594219855,0.046697096905717654,0.26998135,5.400806,0.04669709424558977,345
1,nose_y,raw_mean,left_right,1.0860353466144113,26.770887686290553,0.7578997110858011,1.4329538997428939,0.1527818143431745,-0.3994480871137589,2.5715187803425814,0.0059508387263992844,0.0771416795668806,0.26998135,3.8009193,0.07714167957751895,345
1,nose_y,raw_std,angle,-4.16072105913499,46.157448551908765,1.0831479613871264,-3.841322891663471,0.0001457590478528265,-6.283691063453757,-2.0377510548162223,0.04124534988271556,-0.20308951199585754,0.23774834,4.870781,-0.2030895129499712,345
1,nose_y,raw_std,depth,0.774545960686656,9.533403006808863,1.225861576035963,0.6318380279046557,0.5279136077625937,-1.6281427283438312,3.1772346497171435,0.0011625515466452707,0.03409621015076706,0.23774834,5.400806,0.03409620922752938,345
1,nose_y,raw_std,left_right,1.5320589062661782,-1.0302630307094718,0.8592523439144696,1.7830139389397814,0.07546827118138415,-0.1520756878061822,3.2161935003385387,0.00918350747053346,0.0958306186483916,0.23774834,3.8009193,0.09583061691078504,345
2,nose_z,raw_mean,angle,-4.700360018380136,72.19365555099269,0.5297592033156491,-8.872634942369274,4.015708871705124e-17,-5.738688056878809,-3.6620319798814642,0.1866711783116236,-0.4320546010767894,0.4477196,4.870781,-0.43205458690732584,345
2,nose_z,raw_mean,depth,2.313742103129733,-3.488973306790026,0.6392430159333335,3.6195031395869526,0.0003396257638461108,1.0608257919003994,3.566658414359067,0.036789591227931934,0.19180612927623542,0.4477196,5.400806,0.19180612339235753,345
2,nose_z,raw_mean,left_right,0.18303058892849766,-1.822381228999951,0.45828383512791004,0.39938259850996627,0.6898598738328059,-0.715205727922206,1.0812669057792013,0.0004648172555032189,0.021559620949896566,0.4477196,3.8009193,0.0215596214749841,345
2,nose_z,raw_std,angle,2.7701497143266938,44.77583296657182,6.462282663068766,0.4286642752657346,0.6684366403767633,-9.895924305288087,15.436223733941475,0.0005354363639018053,0.023139497918101104,0.0406864,4.870781,0.02313949539126627,345
2,nose_z,raw_std,depth,-13.609253418491413,13.138288960285529,7.129641335803549,-1.908827215493804,0.05711874595251955,-27.583350436666368,0.3648435996835424,0.01051114491747896,-0.10252387486570608,0.0406864,5.400806,-0.10252386532901187,345
2,nose_z,raw_std,left_right,2.607113601391373,-1.4488906268713175,5.042235560390901,0.5170550979155872,0.6054509432474122,-7.275668096974791,12.489895299757539,0.0007788272826292327,0.027907477181379772,0.0406864,3.8009193,0.027907475190357908,345
3,left_eye_x,raw_mean,angle,6.033446012122847,-70.79816367646825,0.5895344375081508,10.234255419624116,1.2514312131554604e-21,4.877958514606871,7.188933509638823,0.23393037865361707,0.48366349733426967,0.39045992,4.870781,0.48366350523168206,345
3,left_eye_x,raw_mean,depth,-0.7126084669387953,23.392814754472116,0.7458610262779827,-0.9554172182650095,0.34003961817532713,-2.1744960784436413,0.7492791445660507,0.0026542251477772896,-0.05151917262318262,0.39045992,5.400806,-0.05151917250768887,345
3,left_eye_x,raw_mean,left_right,-0.20506451803719195,3.169877647690019,0.5254951856310053,-0.3902310118996697,0.6966079566006682,-1.2350350818739624,0.8249060457995785,0.00044376870391349426,-0.021065818377492346,0.39045992,3.8009193,-0.02106581928138632,345
3,left_eye_x,raw_std,angle,-3.102469758366275,46.737069817961604,0.5620419834963443,-5.519996458389936,6.69895094855513e-08,-4.204072046019109,-2.00086747071344,0.08158709255309318,-0.28563454369717467,0.4484373,4.870781,-0.28563451544688867,345
