kind,n,band,downsample,k_candidates,nn1_abs_dangle_median,nn1_abs_dangle_p95,pct_le_0p1,pct_le_0p25,pct_gt_1
angles_plus_wrist_speed,345,8,60,50,1.8300018310546875,6.890000152587891,3.4782608695652173,7.246376811594203,71.01449275362319
angles_elbow_wrist_index,345,8,60,50,1.8600006103515625,6.808000946044922,2.898550724637681,6.3768115942028984,73.33333333333333
wrist_speed_tips_speed,345,8,60,50,1.8299980163574219,7.122000885009769,2.318840579710145,7.246376811594203,69.85507246376812
wrist_speed,345,8,60,50,1.6800003051757812,7.332002258300784,1.4492753623188406,5.797101449275362,71.59420289855073
