kind,n,band,downsample,k_candidates,nn1_abs_dangle_median,nn1_abs_dangle_p95,pct_le_0p1,pct_le_0p25,pct_gt_1
angles_plus_wrist_speed,345,8,60,50,1.8300018310546875,6.890000152587891,3.4782608695652173,7.536231884057972,71.01449275362319
angles_elbow_wrist_index,345,8,60,50,1.8699989318847656,7.094002532958987,2.898550724637681,6.3768115942028984,73.62318840579711
wrist_speed_tips_speed,345,8,60,50,1.8600006103515625,7.332002258300784,2.318840579710145,7.246376811594203,70.43478260869566
wrist_speed,345,8,60,50,1.7400016784667969,7.134000396728518,1.4492753623188406,6.086956521739131,73.04347826086956
