player,frame,feature_idx,feature_name,target,beta,se_beta,p_value,r_squared,n_samples
4,0,82,left_second_finger_mcp_y,depth,-2.0482303959538393,1.5173686132285273,0.1817441670986829,0.027268121045565863,67
4,0,82,left_second_finger_mcp_y,left_right,0.5370682928461383,1.2449231358450052,0.6676001135052042,0.0028550838911110795,67
4,0,83,left_second_finger_mcp_z,angle,-1.5702647307211317,0.5994589453465845,0.010949358527536208,0.0954838318879665,67
4,0,83,left_second_finger_mcp_z,depth,0.3495736864407495,1.130449535159522,0.7581324522984156,0.001469005098564318,67
4,0,83,left_second_finger_mcp_z,left_right,-0.5627580301354969,0.9140641480381156,0.5402649777973255,0.005797643181352777,67
4,0,84,left_second_finger_pip_x,angle,1.5141681611826483,0.6745570822931477,0.02819820704474707,0.07194047220916716,67
4,0,84,left_second_finger_pip_x,depth,-1.8477609553205205,1.2356785690343806,0.13966499740903388,0.03325664107788013,67
4,0,84,left_second_finger_pip_x,left_right,-0.18678738716546708,1.0181373760251018,0.8550082646365859,0.0005175402758430132,67
4,0,85,left_second_finger_pip_y,angle,-0.055818348852374446,0.750202897642524,0.9409171684235618,8.516205899931847e-05,67
4,0,85,left_second_finger_pip_y,depth,-1.5245524398962378,1.3331871185380806,0.2570087049626335,0.019721441868903924,67
4,0,85,left_second_finger_pip_y,left_right,0.46268333708735543,1.0896417325829795,0.6725161781550896,0.002766202024035555,67
4,0,86,left_second_finger_pip_z,angle,-1.247876405988353,0.5701853342864082,0.03222903224130512,0.0686308758781317,67
4,0,86,left_second_finger_pip_z,depth,0.06583762172608998,1.0603796209738543,0.9506827017212762,5.9304330919738904e-05,67
4,0,86,left_second_finger_pip_z,left_right,-0.35136221226589076,0.8581907991137964,0.683576053947759,0.002572234120043438,67
4,0,87,left_second_finger_dip_x,angle,1.3125615356930227,0.652740675682594,0.048493100155938086,0.05856459742213178,67
4,0,87,left_second_finger_dip_x,depth,-1.6864241377471585,1.1891804996871085,0.16092661078206863,0.030011740481628517,67
4,0,87,left_second_finger_dip_x,left_right,0.16548937125567256,0.9782229039579025,0.8661855665517437,0.00044010876935702273,67
4,0,88,left_second_finger_dip_y,angle,0.02705433802119952,0.8076477350041034,0.9733803565863136,1.7262711439717473e-05,67
4,0,88,left_second_finger_dip_y,depth,-1.8263714994095168,1.4317788050731692,0.20663828368716647,0.024421659807632164,67
