type,contrast,percentile,alpha,depth_cal,n_modified,depth_mean,angle_mean,lr_mean,sim_to_219
uniform,151,93,1.5,0.506,8,0.506,0.52146871109333,0.47135567560516484,0.0013568172895956788
uniform,151,93,1.5,,8,0.5060233175903928,0.52146871109333,0.47135567560516484,0.0013634892844868218
uniform,151,91,1.5,,11,0.5061076786775605,0.5215076003086376,0.47141276886669214,0.0013640581465518653
uniform,151,85,0.9,0.506,17,0.506,0.5212324739998997,0.470364321293443,0.0013640757287429665
per_target,151,90,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",,12,0.5056337198566275,0.5212540656460066,0.4709935052903813,0.0013666912059859544
per_target,151,88,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",0.5055,14,0.5055,0.5212414685042905,0.47054450407826076,0.001370872824715348
uniform,151,95,0.8,0.506,6,0.506,0.5214952282635762,0.47024580949864464,0.0013714488830204416
per_target,151,88,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",,14,0.505503731976724,0.5212414685042905,0.47054450407826076,0.0013719406764623613
uniform,151,92,1.5,0.505,9,0.5049999999999999,0.5213631887438644,0.47174867021284467,0.0013935162314208625
uniform,151,95,0.8,,6,0.5060728612007227,0.5214952282635762,0.47024580949864464,0.0013940165115628696
uniform,151,85,0.8,0.5055,17,0.5055,0.521237721231368,0.4701812642635989,0.0014006132318458645
per_target,151,95,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",,6,0.5065958822891775,0.5215491105586917,0.47024580949864464,0.0014048648512259918
uniform,151,85,0.8,,17,0.5055350293822605,0.521237721231368,0.4701812642635989,0.001410636388421884
uniform,151,95,1.3,0.505,6,0.505,0.5216299340013647,0.4712014354197691,0.0014145406751323783
per_target,151,95,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",0.5055,6,0.5055000000000001,0.52168381629648,0.47101031023554424,0.0014418264321109145
uniform,151,88,1.3,0.506,14,0.506,0.5212299993306433,0.47109281289428534,0.0014432258057100107
per_target,151,95,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",,6,0.5058487093056705,0.5215491105586917,0.47062805986709444,0.0014482869204885177
uniform,151,93,1.5,0.505,8,0.505,0.52146871109333,0.47135567560516484,0.0014527941723324535
uniform,151,85,1.3,0.505,17,0.5050000000000001,0.5212114850740264,0.47109654941281964,0.0014558738636340199
uniform,151,90,1.5,0.5055,12,0.5055000000000001,0.5212540656460066,0.47156267960676523,0.0014564001207496894
uniform,151,88,0.8,0.506,14,0.5060000000000001,0.5212491146200554,0.4701789648675778,0.0014583996680693422
uniform,151,91,1.5,0.505,11,0.5050000000000001,0.5215076003086376,0.47141276886669214,0.0014692113954969217
uniform,151,95,0.8,0.505,6,0.505,0.5214952282635762,0.47024580949864464,0.0014736407997020758
per_target,151,85,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",0.5055,17,0.5055,0.5212272267684314,0.4705473783232872,0.0014770577172574602
per_target,151,85,"{'scaled_angle': 1.0, 'scaled_depth': 0.5, 'scaled_left_right': 1.0}",,17,0.5055125644191317,0.5212272267684314,0.4705473783232872,0.0014806528460355793
per_target,151,88,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",0.5055,14,0.5055000000000001,0.5212414685042905,0.4701789648675778,0.0014812153685179387
uniform,151,85,1.3,0.5055,17,0.5055,0.5212114850740264,0.47109654941281964,0.0014858035356726663
per_target,151,88,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",,14,0.5055609503023382,0.5212414685042905,0.4701789648675778,0.0014979362479204579
per_target,151,95,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",0.5055,6,0.5055,0.5215491105586917,0.47024580949864464,0.0015041428765738768
uniform,151,85,1.3,,17,0.5055724709874752,0.5212114850740264,0.47109654941281964,0.0015052573995671902
uniform,151,95,1.5,0.506,6,0.506,0.52168381629648,0.47158368578821885,0.0015174806858741872
uniform,151,85,0.8,0.506,17,0.5060000000000001,0.521237721231368,0.4701812642635989,0.0015436810784535504
uniform,151,90,1.5,,12,0.5059509139420483,0.5212540656460066,0.47156267960676523,0.0015485037890959179
per_target,151,95,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",,6,0.5058487093056705,0.52168381629648,0.47101031023554424,0.0015498337391770135
uniform,151,90,1.5,0.506,12,0.5060000000000001,0.5212540656460066,0.47156267960676523,0.0015625490623151447
uniform,151,95,1.5,,6,0.5065958822891775,0.52168381629648,0.47158368578821885,0.0015701200646561129
per_target,151,88,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",0.5055,14,0.5055,0.5212223532148784,0.4709100432889438,0.0015781042335183922
per_target,151,88,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",,14,0.505503731976724,0.5212223532148784,0.4709100432889438,0.0015791720852654052
uniform,151,90,1.5,0.505,12,0.5050000000000001,0.5212540656460066,0.47156267960676523,0.001608317524879466
uniform,151,85,1.3,0.506,17,0.5060000000000001,0.5212114850740264,0.47109654941281964,0.0016200218247582271
per_target,151,85,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",0.5055,17,0.5055,0.5212272267684314,0.4701812642635989,0.0016436951106307937
per_target,151,85,"{'scaled_angle': 1.0, 'scaled_depth': 1.5, 'scaled_left_right': 0.8}",,17,0.5055874476295611,0.5212272267684314,0.4701812642635989,0.0016671692530793602
uniform,151,95,1.5,0.5055,6,0.5055,0.52168381629648,0.47158368578821885,0.001669398090003998
per_target,151,85,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",0.5055,17,0.5055,0.5212009906110897,0.4709134923829755,0.0017135343141266852
per_target,151,85,"{'scaled_angle': 1.5, 'scaled_depth': 0.5, 'scaled_left_right': 1.2}",,17,0.5055125644191317,0.5212009906110897,0.4709134923829755,0.0017171294429048046
uniform,151,95,1.5,0.505,6,0.505,0.52168381629648,0.47158368578821885,0.001821315494133775
uniform,151,88,1.5,0.505,14,0.5050000000000001,0.5212223532148784,0.4714583521049684,0.0018343453324489575
uniform,151,88,1.5,0.5055,14,0.5055000000000001,0.5212223532148784,0.4714583521049684,0.001871713104573021
uniform,151,88,1.5,,14,0.5055609503023382,0.5212223532148784,0.4714583521049684,0.0018884339839755398
uniform,151,88,1.5,0.506,14,0.5060000000000001,0.5212223532148784,0.4714583521049684,0.0020088812461659567
uniform,151,85,1.5,0.505,17,0.505,0.5212009906110897,0.4714626634725079,0.002094218174103321
uniform,151,85,1.5,0.5055,17,0.5055,0.5212009906110897,0.4714626634725079,0.002115665500181789
uniform,151,85,1.5,,17,0.5055874476295611,0.5212009906110897,0.4714626634725079,0.0021391396426303556
uniform,151,85,1.5,0.506,17,0.506,0.5212009906110897,0.4714626634725079,0.0022498837892673497
two_stage,151+9,92+88,1.0+0.3,0.5055,9+14,0.5055,0.5213573220920814,0.47244228154000134,0.002793956758421938
two_stage,151+9,91+88,1.0+0.3,0.5055,11+14,0.5055000000000001,0.5215373584781511,0.472173688962331,0.0028060206012228495
two_stage,151+9,90+88,1.0+0.3,0.5055,12+14,0.5054999999999998,0.521196105838491,0.4722613771505746,0.0028736265083589125
two_stage,151+9,92+85,1.0+0.3,0.5055,9+17,0.5055,0.5215321003538486,0.47268322216918973,0.00297303247703988
two_stage,151+9,91+85,1.0+0.3,0.5055,11+17,0.5055,0.5215319831186699,0.47226088996682697,0.0030141308744373635
two_stage,151+9,92+88,1.1+0.3,0.5055,9+14,0.5055000000000001,0.521404284218662,0.4729432348814702,0.003074154175007683
two_stage,151+9,91+88,1.1+0.3,0.5055,11+14,0.5055000000000001,0.5214541302546881,0.47244873062040427,0.003081372279912593
two_stage,151+9,90+85,1.0+0.3,0.5055,12+17,0.5054999999999998,0.5212937101420181,0.47230718643662406,0.0031147846262229674
two_stage,151+9,90+88,1.1+0.3,0.5055,12+14,0.5055,0.5211959947209309,0.4725001594621873,0.00315702084430154
two_stage,151+9,92+85,1.1+0.3,0.5055,9+17,0.5055,0.5215393361244468,0.4729459835588163,0.0032511810347150075
two_stage,151+9,91+85,1.1+0.3,0.5055,11+17,0.5055,0.5215517345582151,0.4724945399064537,0.0033180477008323927
two_stage,151+9,92+88,1.2+0.3,0.5055,9+14,0.5055,0.5214115199892604,0.47320599627109683,0.003361288404411172
two_stage,151+9,90+85,1.1+0.3,0.5055,12+17,0.5055000000000001,0.5212011365985667,0.47263836240916307,0.0033929646667396093
two_stage,151+9,91+88,1.2+0.3,0.5055,11+14,0.5055,0.5214738816942335,0.472682380560031,0.0033949782374340424
alt_contrast,152,93,0.9,0.5055,8,0.5055,0.5215131075303313,0.46871680802484567,0.003426005525506096
two_stage,151+9,90+88,1.2+0.3,0.5055,12+14,0.5055000000000001,0.5211958836033709,0.47273894177380016,0.003471842143227462
alt_contrast,152,93,1.0,0.5055,8,0.5055,0.5215390418022443,0.46871680802484567,0.0034912889103835276
two_stage,151+9,92+85,1.2+0.3,0.5055,9+17,0.5055,0.5215465718950452,0.4732087449484429,0.003537961957804747
alt_contrast,152,93,1.1,0.5055,8,0.5055,0.5215649760741572,0.46871680802484567,0.003556572295260892
alt_contrast,152,91,0.9,0.5055,11,0.5055000000000001,0.5213685418146274,0.46871680802484567,0.0035628171006989603
alt_contrast,152,93,1.2,0.5055,8,0.5055,0.5215909103460702,0.46871680802484567,0.0036306791379912533
two_stage,151+9,91+85,1.2+0.3,0.5055,11+17,0.5054999999999998,0.5215714859977605,0.47272818984608034,0.0036310067969003617
alt_contrast,152,91,1.0,0.5055,11,0.5055,0.52137841322924,0.46871680802484567,0.003643572642626016
alt_contrast,152,88,0.9,0.5055,14,0.5055000000000001,0.5213511974425865,0.46871680802484567,0.0036733929919412988
two_stage,151+9,90+85,1.2+0.3,0.5055,12+17,0.5055000000000001,0.5211989150340174,0.47288500461292954,0.003718543523161833
alt_contrast,152,91,1.1,0.5055,11,0.5054999999999998,0.5213882846438525,0.46871680802484567,0.0037398614736759202
alt_contrast,152,88,1.0,0.5055,14,0.5055,0.5213591417047501,0.46871680802484567,0.003766705614923509
alt_contrast,152,91,1.2,0.5055,11,0.5055,0.521398156058465,0.46871680802484567,0.0038428615687862784
alt_contrast,152,88,1.1,0.5055,14,0.5055,0.5213670859669135,0.46871680802484567,0.0038600182379057526
alt_contrast,152,88,1.2,0.5055,14,0.5055000000000001,0.521375030229077,0.46871680802484567,0.003953330860887997
alt_contrast,150,93,0.9,0.5055,8,0.5055,0.5219492326077908,0.4692802189310428,0.00400880093068539
alt_contrast,150,93,1.0,0.5055,8,0.5055,0.5220236252216437,0.46934282014284257,0.004147774546501237
alt_contrast,150,93,1.1,0.5055,8,0.5055,0.5220980178354966,0.46940542135464225,0.004286748162317116
alt_contrast,160,93,0.9,0.5055,8,0.5054999999999998,0.5212023881707375,0.4684418589328404,0.004322160147129394
alt_contrast,150,91,0.9,0.5055,11,0.5055000000000001,0.5218764573527389,0.46921690945109035,0.004353632056663874
alt_contrast,150,93,1.2,0.5055,8,0.5055,0.5221724104493495,0.46946802256644193,0.0044460162197424895
alt_contrast,160,93,1.0,0.5055,8,0.5055,0.5211937980693623,0.4684113090337287,0.004526339355059019
alt_contrast,150,91,1.0,0.5055,11,0.5055,0.5219427638271417,0.46927247627622865,0.004531191112950017
alt_contrast,150,88,0.9,0.5055,14,0.5055,0.5219873541707805,0.469474075646794,0.00455110984692276
alt_contrast,160,91,0.9,0.5055,11,0.5055,0.5213569267529146,0.46836839122253726,0.004565548335660353
two_stage,151+9,92+88,1.0+0.5,0.5055,9+14,0.5055,0.521371964248837,0.4735784362443278,0.004590416345695923
two_stage,151+9,91+88,1.0+0.5,0.5055,11+14,0.5055000000000001,0.5216078419746095,0.4732800714353894,0.004660752408181729
alt_contrast,150,91,1.1,0.5055,11,0.5055,0.5220090703015443,0.469328043101367,0.004708750169236161
two_stage,151+9,90+88,1.0+0.5,0.5055,12+14,0.5055,0.5211517696474566,0.47335959142020745,0.004711159528653676
alt_contrast,160,93,1.1,0.5055,8,0.5055,0.521185207967987,0.468380759134617,0.004730518562988613
alt_contrast,150,88,1.0,0.5055,14,0.5055,0.5220659825138544,0.4695582164936771,0.004750881750821504
alt_contrast,160,91,1.0,0.5055,11,0.5055,0.5213655076051145,0.468329678244503,0.0048014557326879455
alt_contrast,150,91,1.2,0.5055,11,0.5055,0.5220753767759471,0.46938360992650524,0.004886309225522302
alt_contrast,160,88,0.9,0.5055,14,0.5055,0.5215148245291867,0.46816911029435937,0.004904596954375861
two_stage,151+9,92+85,1.0+0.5,0.5055,9+17,0.5055,0.5216632613517822,0.47398000395964174,0.004912460447879875
two_stage,151+9,92+88,1.1+0.5,0.5055,9+14,0.5055000000000001,0.521446523808216,0.47427860904953156,0.00493377888557786
alt_contrast,160,93,1.2,0.5055,8,0.5055,0.5211766178666117,0.46835020923550524,0.004934697770918206
alt_contrast,150,88,1.1,0.5055,14,0.5055,0.5221446108569283,0.46964235734056037,0.004950653654720216
two_stage,151+9,91+88,1.1+0.5,0.5055,11+14,0.5055,0.5214589993254813,0.4736186537169851,0.004982921048440885
two_stage,151+9,91+85,1.0+0.5,0.5055,11+17,0.5055,0.5215988830421409,0.47342540644288283,0.005026671363294042
alt_contrast,9,93,0.9,0.5055,8,0.5055,0.521570906822172,0.47081932896895734,0.005031840038155377
alt_contrast,160,91,1.1,0.5055,11,0.5055,0.5213740884573145,0.46829096526646874,0.005037363129715537
two_stage,151+9,90+88,1.1+0.5,0.5055,12+14,0.5055000000000001,0.5211527237153947,0.4736310787581434,0.005040343135975185
two_stage,151+9,90+85,1.0+0.5,0.5055,12+17,0.5055,0.5213144434866683,0.47343594023028984,0.005112334409470039
alt_contrast,150,88,1.2,0.5055,14,0.5054999999999998,0.5222232392000022,0.4697264981874435,0.005150425558618925
alt_contrast,160,88,1.0,0.5055,14,0.5055,0.5215409495787503,0.468108254990972,0.005178718161983861
two_stage,151+9,92+85,1.1+0.5,0.5055,9+17,0.5055000000000001,0.5216716103178572,0.4742831901784416,0.0052334010913511995
two_stage,151+9,92+88,1.2+0.5,0.5055,9+14,0.5055000000000001,0.521454872774291,0.47458179526833144,0.00525748144136387
alt_contrast,160,91,1.2,0.5055,11,0.5055000000000001,0.5213826693095145,0.4682522522884344,0.005273270526743128
two_stage,151+9,91+88,1.2+0.5,0.5055,11+14,0.5055,0.5214817894480336,0.47388824980116967,0.00533716790590149
two_stage,151+9,91+85,1.1+0.5,0.5055,11+17,0.5055,0.5216216731646931,0.4736950025270674,0.005377778594346917
two_stage,151+9,90+88,1.2+0.5,0.5055,12+14,0.5055,0.5211536777833327,0.47390256609607934,0.005394076300310755
two_stage,151+9,90+85,1.1+0.5,0.5055,12+17,0.5055,0.5211612935114543,0.473861417003103,0.005433077037953189
alt_contrast,160,88,1.1,0.5055,14,0.5055,0.5215670746283139,0.4680473996875847,0.005452839369591891
alt_contrast,9,91,0.9,0.5055,11,0.5055,0.5216929373924801,0.47139505973409634,0.0054833702465922765
alt_contrast,9,93,1.0,0.5055,8,0.5055,0.5216032632376228,0.47105294240719187,0.005552992578113281
two_stage,151+9,92+85,1.2+0.5,0.5055,9+17,0.5055,0.5216799592839322,0.4745863763972415,0.00555669598600596
alt_contrast,9,88,0.9,0.5055,14,0.5055,0.5213517815919605,0.4720841385125969,0.005596009895392639
alt_contrast,160,88,1.2,0.5055,14,0.5055,0.5215931996778774,0.46798654438419723,0.005726960577199889
two_stage,151+9,91+85,1.2+0.5,0.5055,11+17,0.5055,0.5216444632872455,0.47396459861125206,0.005731279073207321
alt_contrast,100,93,0.9,0.5055,8,0.5055,0.5227732770733357,0.469870535969658,0.005777960717608497
two_stage,151+9,90+85,1.2+0.5,0.5055,12+17,0.5055000000000001,0.5211587301677435,0.47414600416129493,0.005801138778760788
alt_contrast,9,93,1.1,0.5055,8,0.5055,0.5216356196530737,0.4712865558454265,0.006074145118071122
alt_contrast,9,91,1.0,0.5055,11,0.5055,0.5217388527601873,0.47169264325734644,0.00608397423943489
alt_contrast,100,93,1.0,0.5055,8,0.5055,0.5229392301833602,0.469998727963526,0.006169090898166186
alt_contrast,9,88,1.0,0.5055,14,0.5055000000000001,0.5213597907596099,0.47245828634456916,0.00625088275505569
two_stage,151+9,92+88,1.0+0.7,0.5055,9+14,0.5055,0.5213866064055928,0.4747145909486543,0.006386875932969907
two_stage,151+9,91+88,1.0+0.7,0.5055,11+14,0.5055,0.5216783254710681,0.47438645390844786,0.006515816126150721
two_stage,151+9,90+88,1.0+0.7,0.5055,12+14,0.5055,0.5211074334564222,0.4744578056898403,0.00654902445995852
alt_contrast,100,93,1.1,0.5055,8,0.5055,0.5231051832933847,0.470126919957394,0.0065718074574914334
alt_contrast,9,93,1.2,0.5055,8,0.5055,0.5216679760685246,0.4715201692836612,0.006606575314959145
alt_contrast,9,91,1.1,0.5055,11,0.5055,0.5217847681278946,0.47199022678059654,0.006684578232277534
alt_contrast,100,91,0.9,0.5055,11,0.5054999999999998,0.522545740219755,0.4702703195338738,0.006775782182432288
two_stage,151+9,92+88,1.1+0.7,0.5055,9+14,0.5055000000000001,0.5214887633977698,0.4756139832175928,0.006793403596148037
two_stage,151+9,92+85,1.0+0.7,0.5055,9+17,0.5055,0.521794422349716,0.47527678575009374,0.006851888418719904
two_stage,151+9,91+88,1.1+0.7,0.5055,11+14,0.5054999999999998,0.5214638683962746,0.4747885768135659,0.006884469816969209
alt_contrast,9,88,1.1,0.5055,14,0.5055,0.5213677999272595,0.4728324341765415,0.00690575561471874
two_stage,151+9,90+88,1.1+0.7,0.5055,12+14,0.5055,0.5211094527098583,0.4747619980540994,0.0069236654276488615
alt_contrast,100,93,1.2,0.5055,8,0.5055,0.5232711364034094,0.470255111951262,0.006981457372217779
two_stage,151+9,91+85,1.0+0.7,0.5055,11+17,0.5055,0.5216657829656117,0.47458992291893853,0.007039543763160833
two_stage,151+9,90+85,1.0+0.7,0.5055,12+17,0.5055,0.5213351768313186,0.47456469402395557,0.007110216103727192
two_stage,151+9,92+88,1.2+0.7,0.5055,9+14,0.5055,0.5214982255593215,0.4759575942655661,0.0071287719458610205
two_stage,151+9,92+85,1.1+0.7,0.5055,9+17,0.5055,0.5218038845112677,0.475620396798067,0.0072156211479873925
two_stage,151+9,91+88,1.2+0.7,0.5055,11+14,0.5055000000000001,0.5214896972018338,0.4750941190423084,0.007254455041913324
alt_contrast,84,93,0.9,0.5055,8,0.5055,0.5198295925781939,0.46584307400830216,0.007272576887143799
alt_contrast,100,91,1.0,0.5055,11,0.5055,0.5226864114571594,0.4704429319237658,0.00728628228766961
two_stage,151+9,90+88,1.2+0.7,0.5055,12+14,0.5055,0.5211114719632944,0.47506619041835857,0.007291343376665208
alt_contrast,9,91,1.2,0.5055,11,0.5055,0.5218306834956019,0.47228781030384664,0.0072969768040692445
two_stage,151+9,91+85,1.1+0.7,0.5055,11+17,0.5055,0.5216916117711711,0.4748954651476811,0.007437509487861411
two_stage,151+9,90+85,1.1+0.7,0.5055,12+17,0.5055,0.5211214504243418,0.47508447159704287,0.007473189409166705
two_stage,151+9,92+85,1.2+0.7,0.5055,9+17,0.5055000000000001,0.5218133466728193,0.4759640078460402,0.007550820414128772
alt_contrast,100,88,0.9,0.5055,14,0.5055,0.5242328611622781,0.4708169144319087,0.007555091435972866
alt_contrast,9,88,1.2,0.5055,14,0.5054999999999998,0.521375809094909,0.47320658200851395,0.007573111331373691
two_stage,151+9,91+85,1.2+0.7,0.5055,11+17,0.5055,0.5217174405767303,0.4752010073764238,0.007807234681813054
alt_contrast,100,91,1.1,0.5055,11,0.5055,0.5228270826945638,0.4706155443136579,0.00780836877167451
alt_contrast,84,93,1.0,0.5055,8,0.5055000000000001,0.5196684696332028,0.46552377022868624,0.007813385923976795
two_stage,151+9,90+85,1.2+0.7,0.5055,12+17,0.5055,0.5211185453014696,0.4754070037096603,0.007859124434281337
alt_contrast,100,88,1.0,0.5055,14,0.5055,0.5245609902821851,0.4710502595882491,0.008169232623335571
alt_contrast,100,91,1.2,0.5055,11,0.5055,0.5229677539319683,0.47078815670354984,0.008337388611080505
alt_contrast,84,93,1.1,0.5055,8,0.5055,0.5195073466882116,0.46520446644907026,0.008354194960809793
alt_contrast,84,91,0.9,0.5055,11,0.5055,0.5209926422025692,0.46612764129665196,0.008412005436842932
alt_contrast,100,88,1.1,0.5055,14,0.5055,0.5248891194020922,0.47128360474458936,0.008794960189465852
alt_contrast,84,93,1.2,0.5055,8,0.5055,0.5193462237432204,0.46488516266945434,0.00889500399764279
alt_contrast,84,91,1.0,0.5055,11,0.5055,0.5209607469936197,0.4658399561046304,0.009079959387698976
alt_contrast,100,88,1.2,0.5055,14,0.5055,0.5252172485219991,0.4715169499009297,0.009427621110997243
alt_contrast,84,88,0.9,0.5055,14,0.5055,0.5216095482803229,0.46599910987562754,0.009466559499440221
alt_contrast,84,91,1.1,0.5055,11,0.5055,0.5209288517846703,0.46555227091260887,0.00974791333855505
alt_contrast,84,88,1.0,0.5055,14,0.5055,0.5216461981911237,0.46569714341460333,0.010254043913134803
alt_contrast,84,91,1.2,0.5055,11,0.5055000000000001,0.5208969565757209,0.4652645857205873,0.010415867289411126
alt_contrast,84,88,1.1,0.5055,14,0.5054999999999998,0.5216828481019247,0.465395176953579,0.011041528326829385
alt_contrast,84,88,1.2,0.5055,14,0.5055,0.5217194980127257,0.46509321049255486,0.01182916772976725
