feature_name,feature_type,beta,se_beta,p_value,r_squared,ci_lower,ci_upper
right_small_toe_z,raw_mean,19.171460321995287,8.888935306170511,0.031717374579061014,0.013380321620147611,1.7491471219010855,36.59377352208949
left_small_toe_z,raw_mean,15.815604572759357,10.762759656565505,0.1426206335159157,0.006256114108159931,-5.279404354109031,36.91061349962774
right_big_toe_z,raw_std,15.054370446396387,10.991377197854687,0.1716913048463374,0.005439488523980237,-6.488728861398801,36.59746975419158
right_big_toe_z,raw_mean,13.68160497334836,7.578050715602369,0.07188484132330993,0.009413633918942668,-1.1713744292322819,28.534584375929
left_small_toe_z,raw_std,13.169799434157012,8.738033492878841,0.13268466263640857,0.006579154133079968,-3.956746211885518,30.296345080199544
left_ankle_z,raw_std,13.055948491073284,6.739933835982943,0.05355353514204669,0.01082146731944803,-0.15432182745328404,26.266218809599852
left_big_toe_z,raw_mean,12.881476419076087,10.600079758736436,0.22511630214559872,0.004286996002458952,-7.89467990804733,33.6576327461995
left_big_toe_z,raw_std,12.414702708733426,9.212537348463485,0.17868043958622434,0.005266556219960858,-5.641870494255006,30.471275911721857
right_knee_z,raw_std,10.771026468383935,8.492469630875169,0.20554984672042964,0.004667884253333886,-5.8742140081313945,27.416266944899263
right_ankle_z,raw_std,10.359233647588715,7.643634745159729,0.17622148373763147,0.005326498797443997,-4.622290452924354,25.340757748101783
