feature_name,feature_type,beta,se_beta,p_value,r_squared,ci_lower,ci_upper
right_small_toe_z,raw_mean,24.025798689596197,12.649484697863851,0.058357195558553676,0.01040811316740933,-0.7671913182169519,48.818788697409346
right_heel_z,raw_mean,23.093593717120356,6.296146621784207,0.0002833847550931276,0.03774249137395848,10.753146338423312,35.4340410958174
left_big_toe_z,raw_mean,-21.44802529345851,15.049772784618705,0.15502618712436272,0.005886492495418182,-50.945579951311174,8.04952936439415
right_ankle_z,raw_mean,18.40063011777966,5.144607206020246,0.00039798424632601253,0.03595538635663439,8.317199993979978,28.484060241579343
right_ankle_z,raw_std,18.174496440390033,10.845736958515447,0.09470291144110626,0.008120289735341462,-3.083147998300241,39.43214087908031
left_heel_z,raw_mean,15.835195231086852,6.265833028473679,0.01194545546257562,0.018280270090980946,3.5541624952784403,28.116227966895263
left_small_toe_z,raw_mean,-14.599241210570888,15.32082764010085,0.3413109498867235,0.0026403032423246596,-44.62806338516855,15.429580964026776
left_ankle_z,raw_mean,14.363208867211188,5.066120376121551,0.004852024630280209,0.022898008930886886,4.4336129300129485,24.29280480440943
left_eye_z,raw_std,-13.796999913073684,7.061071621522629,0.05151921349207089,0.011008459440310356,-27.636700291258038,0.04270046511066816
nose_z,raw_std,-13.609253418491413,7.129641335803549,0.05711874595251955,0.01051114491747896,-27.583350436666368,0.3648435996835424
