target,model_r_squared,cv_r_squared_mean,cv_r_squared_std,n_features,n_samples
angle,0.20454530497173007,-2.1105770692919763,0.48338643258232455,5,345
depth,0.044345501690982614,-0.13340153450178288,0.1612326334611757,5,345
left_right,0.021389894832946177,-0.00026859425615430863,0.008379610447518908,5,345
