feature_name,feature_type,beta,p_value,r_squared
left_shoulder_z,raw_std,-62.951385122378056,0.016820055013376013,0.08606217538837074
neck_z,raw_std,-46.82554949723176,0.03598363620685541,0.06690910383268489
left_knee_z,raw_std,-46.22916269399333,0.20628508702363085,0.02483955841594301
left_hip_z,raw_std,-36.719860157683755,0.19206595245236707,0.02644124889806535
mid_hip_z,raw_std,-34.16311296919302,0.2125568727113639,0.024173149503056022
